"Freq [GHz]","im(S(1,2)) []"
1,0.118864158611195
1.1,0.142947117405989
1.2,0.1273834590515
1.3,0.0582411945721255
1.4,-0.0526425743762527
1.5,-0.176902491312507
1.6,-0.288471286570523
1.7,-0.372862601895907
1.8,-0.42540563528145
1.9,-0.447486018948918
2,-0.444224184636719
2.1,-0.422463231386389
2.2,-0.388914237597204
2.3,-0.349027398571649
2.4,-0.306669675016613
2.5,-0.264300108357257
2.6,-0.22332560085554
2.7,-0.184452701265334
2.8,-0.147964639395266
2.9,-0.113914162990631
3,-0.0822461577626677
3.1,-0.0528680020976557
3.2,-0.0256807947746052
3.3,-0.000575342383091954
3.4,0.0226049197082561
3.5,0.044079838233701
3.6,0.0640084280100854
3.7,0.0823545226370801
3.8,0.0990143336291781
3.9,0.113970401468655
4,0.127292053456931
4.1,0.139121098140037
4.2,0.149734861344864
4.3,0.159636739178803
4.4,0.169232215696312
4.5,0.177902010881882
4.6,0.184597027405225
4.7,0.189228186091174
4.8,0.192186397467063
4.9,0.193749982012882
5,0.194044579092591
5.1,0.193115101706598
5.2,0.190968990252659
5.3,0.187594633568839
5.4,0.182968855550129
5.5,0.177060588544432
5.6,0.16983376923568
5.7,0.161250889285563
5.8,0.151278418986212
5.9,0.139895926541043
6,0.127111445915453
6.1,0.112985145360407
6.2,0.0976597154341499
6.3,0.0813882033488818
6.4,0.0645412801097566
6.5,0.0475746375909271
6.6,0.0309518726291357
6.7,0.0150449385702887
6.8,5.27204541202753E-005
6.9,-0.0140298570386124
7,-0.0273885479529159
7.1,-0.0403336538282213
7.2,-0.0532375812171063
7.3,-0.0664821961919791
7.4,-0.0804186508651654
7.5,-0.0953339497873385
7.6,-0.11141630911628
7.7,-0.128713558210341
7.8,-0.147083877277304
7.9,-0.166145311599457
8,-0.185238882653496
8.1,-0.203498032579513
8.2,-0.219913261973322
8.3,-0.233802829939133
8.4,-0.244564136217033
8.5,-0.251705030960444
8.6,-0.254869504594841
8.7,-0.253855340967326
8.8,-0.248619299713789
8.9,-0.239266524593897
9,-0.226025287219261
9.1,-0.209213482965047
9.2,-0.189205875765202
9.3,-0.166409374896218
9.4,-0.141249268347965
9.5,-0.114165133229509
9.6,-0.0856127133337447
9.7,-0.0560674294410398
9.8,-0.0260256966360339
9.9,0.00399872404432241
10,0.0334848072762537
10.1,0.0619208175918887
10.2,0.0888259618693676
10.3,0.113774587205018
10.4,0.136419673564177
10.5,0.156512288520899
10.6,0.173914059612504
10.7,0.188600060323963
10.8,0.200649205070761
10.9,0.210219015327216
11,0.217505595069039
11.1,0.222703077770619
11.2,0.225991797871747
11.3,0.227557833235308
11.4,0.227540584642147
11.5,0.225870072402484
11.6,0.222265795028071
11.7,0.216369546667642
11.8,0.207769228448634
11.9,0.195992429309715
12,0.180576745118996
12.1,0.161226890143462
12.2,0.138018237921247
12.3,0.111562002666416
12.4,0.0830263691190898
12.5,0.0539552124126036
12.6,0.0259354286792898
12.7,0.000256530865468993
12.8,-0.022297043083284
12.9,-0.0414710419618351
13,-0.0574302727409548
13.1,-0.0705958993613587
13.2,-0.0814979703885036
13.3,-0.090672575382431
13.4,-0.0986043336456681
13.5,-0.105702137035017
13.6,-0.11229447146168
13.7,-0.11863378865111
13.8,-0.124903262162252
13.9,-0.131222249271593
14,-0.13764866444896
14.1,-0.144177778802089
14.2,-0.150734667586124
14.3,-0.157170090533616
14.4,-0.163243007532853
14.5,-0.168612735915651
14.6,-0.172831539943109
14.7,-0.175350795274705
14.8,-0.175549965684214
14.9,-0.172798675025599
15,-0.166603118018064
