"Freq [GHz]","re(S(1,1)) []"
1,0.0680511999176947
1.1,-0.0884393962079332
1.2,-0.173855871305738
1.3,-0.192670966379647
1.4,-0.158632393390249
1.5,-0.0973859307231369
1.6,-0.0389437586122036
1.7,-0.00103060553239329
1.8,0.0164154831703924
1.9,0.0228913458245963
2,0.02799905800507
2.1,0.0376536233695744
2.2,0.0541145765565866
2.3,0.077158063720738
2.4,0.10520563887322
2.5,0.136136014222798
2.6,0.167792960101884
2.7,0.198263402208107
2.8,0.226000377575429
2.9,0.249850613602347
3,0.269029283171761
3.1,0.283069846215308
3.2,0.291766190657643
3.3,0.295117702032161
3.4,0.293285556601611
3.5,0.2865655676868
3.6,0.27536295244716
3.7,0.26014637697209
3.8,0.24141415251821
3.9,0.219691118900438
4,0.195511357576915
4.1,0.169347498857598
4.2,0.141448473545256
4.3,0.111703306761677
4.4,0.0803068732223618
4.5,0.0489892549345533
4.6,0.019645800716853
4.7,-0.00716000368657133
4.8,-0.0313578969149911
4.9,-0.0527626113587245
5,-0.0710573048734594
5.1,-0.0858708988026248
5.2,-0.096825921780243
5.3,-0.103566079655061
5.4,-0.105780728793324
5.5,-0.103235252897026
5.6,-0.0958089449898385
5.7,-0.0835358513754051
5.8,-0.0666395261821308
5.9,-0.0455510801358557
6,-0.0209023558065801
6.1,0.00650775861899909
6.2,0.0357679963331823
6.3,0.0659181946597832
6.4,0.0960079213342261
6.5,0.125141083511546
6.6,0.152505433488118
6.7,0.177391977357397
6.8,0.199209389005658
6.9,0.217494610320091
7,0.231918382235557
7.1,0.242285778568329
7.2,0.24853436804155
7.3,0.250733340100957
7.4,0.24908522254339
7.5,0.243928856420049
7.6,0.23573934731922
7.7,0.225118675009702
7.8,0.212770317168108
7.9,0.199453530114623
8,0.1859185190041
8.1,0.17333127048809
8.2,0.161211108893611
8.3,0.149894541043757
8.4,0.139710765436495
8.5,0.130949370763098
8.6,0.123830902883996
8.7,0.118488149126017
8.8,0.114962560176166
8.9,0.113215339231995
9,0.113148756279338
9.1,0.114631611228074
9.2,0.117523305892864
9.3,0.121692665989872
9.4,0.127029552249726
9.5,0.133448922234511
9.6,0.14088818414536
9.7,0.149299425848595
9.8,0.158638488347158
9.9,0.16885295548476
10,0.179870944484587
10.1,0.191592007752137
10.2,0.203880367902624
10.3,0.216559076690338
10.4,0.229401807649765
10.5,0.242117910268638
10.6,0.254328629012063
10.7,0.265542452605122
10.8,0.275157958709999
10.9,0.282539843639413
11,0.287185431840227
11.1,0.288898958773646
11.2,0.287819019432817
11.3,0.284252080923787
11.4,0.278453828590474
11.5,0.270527430673917
11.6,0.260488186751558
11.7,0.248424936821904
11.8,0.234670234197925
11.9,0.21993027967179
12,0.205330250919352
12.1,0.192328964348219
12.2,0.182488682586371
12.3,0.177151352554604
12.4,0.177133955020511
12.5,0.182562874998988
12.6,0.192904918364433
12.7,0.207159485937081
12.8,0.224113602064729
12.9,0.242562155265166
13,0.261443120778201
13.1,0.279889273700842
13.2,0.297225346292344
13.3,0.31294165745366
13.4,0.326664946627973
13.5,0.338135788026654
13.6,0.34719421539034
13.7,0.353771286263782
13.8,0.357883061252172
13.9,0.359623735114258
14,0.359155677931403
14.1,0.356695365149783
14.2,0.352496352789139
14.3,0.346827617679519
14.4,0.339954968737549
14.5,0.332121441146548
14.6,0.323533868484515
14.7,0.314356946812835
14.8,0.30471813960033
14.9,0.294725221619205
15,0.284472686240426
