"Freq [GHz]","dB(S(1,1)) []"
1,-2.38662742167802
1.1,-4.03171094079307
1.2,-6.12482579116555
1.3,-8.81240499114012
1.4,-12.3464844211856
1.5,-16.9528097067213
1.6,-22.0416695107471
1.7,-24.594732388619
1.8,-25.038952811982
1.9,-26.4185070956003
2,-28.8899035875332
2.1,-28.4760643132588
2.2,-24.4171274817822
2.3,-20.8450064647164
2.4,-18.2068979097548
2.5,-16.2379214053609
2.6,-14.73502943194
2.7,-13.569246276461
2.8,-12.6570945405176
2.9,-11.9423662657192
3,-11.3858455401355
3.1,-10.9594136278078
3.2,-10.6425399563278
3.3,-10.420110411027
3.4,-10.2809811044163
3.5,-10.2168392936241
3.6,-10.2213927551128
3.7,-10.2903906102158
3.8,-10.422050956975
3.9,-10.6173146445984
4,-10.8807492294709
4.1,-11.2228351578417
4.2,-11.6619134722435
4.3,-12.2130523400649
4.4,-12.845056344814
4.5,-13.4844801332333
4.6,-14.1235405619128
4.7,-14.8078987139454
4.8,-15.5642529188249
4.9,-16.3913212867955
5,-17.2641821037744
5.1,-18.127306610997
5.2,-18.881744924439
5.3,-19.3862900023898
5.4,-19.5042419357954
5.5,-19.1898481867876
5.6,-18.5258943260961
5.7,-17.6616373771987
5.8,-16.7310837796474
5.9,-15.8212262058977
6,-14.9782361551208
6.1,-14.2224993579278
6.2,-13.5603053935213
6.3,-12.9909288248932
6.4,-12.5105644745287
6.5,-12.1144379469184
6.6,-11.797877418961
6.7,-11.5567892885917
6.8,-11.3878222832188
6.9,-11.2884127047095
7,-11.2568091273081
7.1,-11.2920884280135
7.2,-11.3941265097161
7.3,-11.5634762210019
7.4,-11.8011093033461
7.5,-12.1079817490728
7.6,-12.4843819314593
7.7,-12.9290304276861
7.8,-13.4379407593937
7.9,-14.0031466809491
8,-14.6115640931638
8.1,-15.2190159781562
8.2,-15.8500221241165
8.3,-16.484283534738
8.4,-17.0888592616366
8.5,-17.6181922883564
8.6,-18.0198951256418
8.7,-18.2479139198198
8.8,-18.2787474828459
8.9,-18.120415174879
9,-17.8072166710178
9.1,-17.384866955813
9.2,-16.8965238892916
9.3,-16.3756327301024
9.4,-15.8449271110961
9.5,-15.3185035733714
9.6,-14.8045871590393
9.7,-14.3078854390359
9.8,-13.8312455778531
9.9,-13.3766786309639
10,-12.9459169304832
10.1,-12.5406772581836
10.2,-12.1627838299449
10.3,-11.8142832240055
10.4,-11.497658159937
10.5,-11.2162021051433
10.6,-10.9745150263721
10.7,-10.778872792949
10.8,-10.6369277860376
10.9,-10.556108101353
11,-10.5408239218739
11.1,-10.5902408048812
11.2,-10.6990770776627
11.3,-10.8616176680433
11.4,-11.0761691847311
11.5,-11.3471189137372
11.6,-11.6835626955951
11.7,-12.0953692502271
11.8,-12.5874334023768
11.9,-13.1510046698277
12,-13.7508183679538
12.1,-14.3106874141056
12.2,-14.7116833100597
12.3,-14.8288967401462
12.4,-14.6061511183858
12.5,-14.0984725992264
12.6,-13.4281235342323
12.7,-12.7112163987299
12.8,-12.0230592883044
12.9,-11.4007834789876
13,-10.8573250640954
13.1,-10.3932034685735
13.2,-10.0036650381904
13.3,-9.68235924517037
13.4,-9.42298442673852
13.5,-9.21987770787345
13.6,-9.06810453215984
13.7,-8.96334003885723
13.8,-8.9016892834782
13.9,-8.87951797687102
14,-8.89332762165455
14.1,-8.93969202811977
14.2,-9.01524213460996
14.3,-9.11676662020019
14.4,-9.24129583919695
14.5,-9.38630202485287
14.6,-9.5498878129487
14.7,-9.730946704767
14.8,-9.92919736026102
14.9,-10.1449718827743
15,-10.3795965756862
