"Freq [GHz]","dB(S(2,1)) []"
1,-15.6947661885022
1.1,-12.6454737297349
1.2,-10.2490119035284
1.3,-8.5382495464363
1.4,-7.42417955768921
1.5,-6.77580902515665
1.6,-6.46326657199671
1.7,-6.38646022767255
1.8,-6.48179287925286
1.9,-6.70820918257722
2,-7.03254687287918
2.1,-7.42450062734096
2.2,-7.85733578482855
2.3,-8.30928158655581
2.4,-8.76393042052085
2.5,-9.20978410146723
2.6,-9.63940604472846
2.7,-10.0484958791217
2.8,-10.4350384077552
2.9,-10.7985763485549
3,-11.1395993400876
3.1,-11.4590004363896
3.2,-11.7575210380556
3.3,-12.035188523881
3.4,-12.2913164132032
3.5,-12.526553753792
3.6,-12.7458248142623
3.7,-12.9557647645314
3.8,-13.1596121142396
3.9,-13.3579062202669
4,-13.5509814647273
4.1,-13.7385176022815
4.2,-13.9142485226634
4.3,-14.0541021019527
4.4,-14.1188443047851
4.5,-14.115438778669
4.6,-14.1075670199529
4.7,-14.1252390400255
4.8,-14.1603244871874
4.9,-14.2004678084236
5,-14.2383424380972
5.1,-14.2704678729132
5.2,-14.2954333581073
5.3,-14.3129121341445
5.4,-14.323206738001
5.5,-14.3270610789712
5.6,-14.3256052466854
5.7,-14.320376612912
5.8,-14.3133929326041
5.9,-14.3072518760114
6,-14.3052011822792
6.1,-14.3110734114254
6.2,-14.328937480241
6.3,-14.3623403411001
6.4,-14.4131548951439
6.5,-14.4803109289364
6.6,-14.5589284679402
6.7,-14.6403703828159
6.8,-14.7133753030384
6.9,-14.7659171785985
7,-14.7871317500708
7.1,-14.7687415378376
7.2,-14.705758935439
7.3,-14.5965760866343
7.4,-14.4426998621801
7.5,-14.2483703879665
7.6,-14.0202013089477
7.7,-13.7668769607607
7.8,-13.4988720582166
7.9,-13.2281280489321
8,-12.9676182843359
8.1,-12.7184603225997
8.2,-12.4939868248367
8.3,-12.29509744843
8.4,-12.1219031631828
8.5,-11.9739626201398
8.6,-11.8503775800246
8.7,-11.7498087716938
8.8,-11.6704849894627
8.9,-11.6102686800015
9,-11.5668060110266
9.1,-11.5377407084732
9.2,-11.5209372838839
9.3,-11.5146584161416
9.4,-11.5176652179149
9.5,-11.5292369464144
9.6,-11.5491240828725
9.7,-11.5774538818078
9.8,-11.6146055916436
9.9,-11.6610688020224
10,-11.7172954318992
10.1,-11.7835541254373
10.2,-11.859794587279
10.3,-11.9455279430421
10.4,-12.0397275765057
10.5,-12.1407546603821
10.6,-12.2463179984484
10.7,-12.3534957142834
10.8,-12.4588779935903
10.9,-12.5588999534064
11,-12.6503054353933
11.1,-12.7302717606886
11.2,-12.7952431104424
11.3,-12.8387225158864
11.4,-12.8534531904478
11.5,-12.8399382706885
11.6,-12.8061976643326
11.7,-12.7600586634559
11.8,-12.7081675415056
11.9,-12.6586215421334
12,-12.6222954739577
12.1,-12.6124355205176
12.2,-12.6429749561649
12.3,-12.7260347915155
12.4,-12.8692969814344
12.5,-13.0741054602096
12.6,-13.3349611064145
12.7,-13.6405393834482
12.8,-13.9757718700954
12.9,-14.3242329894576
13,-14.6701678438173
13.1,-14.9998255779648
13.2,-15.3020871393396
13.3,-15.5685620612896
13.4,-15.7933728120612
13.5,-15.9728066408305
13.6,-16.1049512496919
13.7,-16.1893744919623
13.8,-16.2268704652693
13.9,-16.2192740276506
14,-16.1693376277035
14.1,-16.0806477713063
14.2,-15.9577374882509
14.3,-15.8058161650463
14.4,-15.6312115098963
14.5,-15.4412594457967
14.6,-15.2444708018796
14.7,-15.0505901278447
14.8,-14.8705388049413
14.9,-14.7161625980225
15,-14.596612211497
