"Freq [GHz]","ang_rad(S(2,2)) [rad]"
1,-1.30032439653099
1.1,-1.43156352474397
1.2,-1.58519198652835
1.3,-1.76682682220621
1.4,-1.97454824585871
1.5,-2.20347074507108
1.6,-2.45125816719722
1.7,-2.72060647475126
1.8,-3.01983249034176
1.9,2.92165158822038
2,2.52914498935374
2.1,2.10162354423343
2.2,1.68665955929508
2.3,1.32835871100178
2.4,1.03726205784524
2.5,0.8021567733005
2.6,0.608207748977621
2.7,0.44361287279656
2.8,0.300084240416897
2.9,0.171903535923067
3,0.0550243097027408
3.1,-0.0535323596851253
3.2,-0.156031501552197
3.3,-0.254219495731711
3.4,-0.349441727220957
3.5,-0.442739210168158
3.6,-0.534971656376312
3.7,-0.626942803201471
3.8,-0.719442578556731
3.9,-0.813257319096332
4,-0.909203351350947
4.1,-1.00809634542653
4.2,-1.11038812076132
4.3,-1.21497763523082
4.4,-1.31887537581338
4.5,-1.42416642559014
4.6,-1.53974363409496
4.7,-1.67066106336907
4.8,-1.81921570039553
4.9,-1.98891533664384
5,-2.18492214298064
5.1,-2.41282125945932
5.2,-2.67553849116148
5.3,-2.96814847314452
5.4,3.00889569042232
5.5,2.71202025752044
5.6,2.44197195982172
5.7,2.20496892353385
5.8,1.99881336300513
5.9,1.81809985239906
6,1.65735024272795
6.1,1.51210051013387
6.2,1.37900035313992
6.3,1.25559921791768
6.4,1.14009816355244
6.5,1.03115467266242
6.6,0.927751584749917
6.7,0.829115182920968
6.8,0.734664285368356
6.9,0.643979741344909
7,0.556791810091058
7.1,0.472985542256214
7.2,0.392622359014134
7.3,0.315973228581578
7.4,0.243556963675442
7.5,0.176175569017447
7.6,0.114935947981191
7.7,0.0612429617462162
7.8,0.016743565449528
7.9,-0.0168009510850901
8,-0.0377293902400023
8.1,-0.0465276915288036
8.2,-0.0390179425088081
8.3,-0.0156099635083878
8.4,0.0236139312380959
8.5,0.078189175966964
8.6,0.146043704417691
8.7,0.222527779677997
8.8,0.300778881403629
8.9,0.37369133800306
9,0.436188625748114
9.1,0.48618724885324
9.2,0.524031613458037
9.3,0.551311261830022
9.4,0.569874408003165
9.5,0.581289352043045
9.6,0.586666592246798
9.7,0.586684100457118
9.8,0.581697042904341
9.9,0.571863696292083
10,0.557254471375178
10.1,0.53793169413423
10.2,0.513999603409579
10.3,0.485630581629926
10.4,0.453076596061727
10.5,0.416674771425726
10.6,0.376853186263303
10.7,0.334137886152341
10.8,0.289156204121134
10.9,0.242627778894414
11,0.195336972039615
11.1,0.148090500807009
11.2,0.101680269884792
11.3,0.0568897962280534
11.4,0.0145792460427586
11.5,-0.0241684736776889
11.6,-0.0578279561531846
11.7,-0.0840513384724714
11.8,-0.0991635408076953
11.9,-0.0976906333795472
12,-0.0723185780383947
12.1,-0.015336772256276
12.2,0.0766790911755259
12.3,0.195220174151059
12.4,0.317390245932253
12.5,0.417761421114467
12.6,0.483294700594565
12.7,0.514729811938033
12.8,0.519233671028292
12.9,0.50461680545243
13,0.477155540341407
13.1,0.441344824765055
13.2,0.400257891132341
13.3,0.355970137570245
13.4,0.309895333244254
13.5,0.263019264200354
13.6,0.216051803915287
13.7,0.169521635706763
13.8,0.123832906666884
13.9,0.0792975077321872
14,0.036152274944475
14.1,-0.00543380469332586
14.2,-0.0453455308517998
14.3,-0.0835421177048666
14.4,-0.120022573098012
14.5,-0.15483192876177
14.6,-0.188036170667551
14.7,-0.219690210071393
14.8,-0.249793357581224
14.9,-0.278234035061591
15,-0.305646725912749
