"Freq [GHz]","normalize(S(2,2)) []"
1,1
1.1,0.952336862694733
1.2,0.905813151655697
1.3,0.849890518222394
1.4,0.777342832916628
1.5,0.688849033537303
1.6,0.591041765201349
1.7,0.492600047081002
1.8,0.401989676599053
1.9,0.326731722212183
2,0.273116655058289
2.1,0.244860224629114
2.2,0.240290249412738
2.3,0.252269566195099
2.4,0.272651478930666
2.5,0.295658894655401
2.6,0.318071990197201
2.7,0.338312718326576
2.8,0.35568413005833
2.9,0.369928281229437
3,0.381001952508667
3.1,0.388974244685759
3.2,0.393980323300465
3.3,0.396191739338437
3.4,0.395791723693597
3.5,0.392964031726406
3.6,0.387893941728605
3.7,0.380755933071375
3.8,0.371702252606428
3.9,0.360885299364425
4,0.348499064627784
4.1,0.334833336774006
4.2,0.320330067928364
4.3,0.305422451779992
4.4,0.289551821990167
4.5,0.270986567169692
4.6,0.249976878844425
4.7,0.228245425609873
4.8,0.206835846088126
4.9,0.1863822507496
5,0.167613974868798
5.1,0.151549566829058
5.2,0.139517405344409
5.3,0.132951734400034
5.4,0.132882204768387
5.5,0.139374215222044
5.6,0.151465740172209
5.7,0.16765842704669
5.8,0.186444114189132
5.9,0.20655227903668
6,0.226984807387578
6.1,0.246975710397578
6.2,0.265943699946303
6.3,0.283453374256917
6.4,0.299183169052861
6.5,0.312897327008627
6.6,0.324422180569504
6.7,0.33362814969307
6.8,0.340417350842029
6.9,0.344715207161637
7,0.34646502215733
7.1,0.345626338251091
7.2,0.342179015904254
7.3,0.336134513234285
7.4,0.32755433184607
7.5,0.316573705340306
7.6,0.303426634133016
7.7,0.288466423062195
7.8,0.272174241804297
7.9,0.255147595930987
8,0.238062262926309
8.1,0.221096662601035
8.2,0.20545482736748
8.3,0.191513619812947
8.4,0.179590942312793
8.5,0.170081682397566
8.6,0.163451733775107
8.7,0.160094962535924
8.8,0.160135243326588
8.9,0.163315905549678
9,0.16906665829318
9.1,0.176695518258416
9.2,0.185576051088568
9.3,0.195247873110551
9.4,0.205429253597024
9.5,0.215978688858194
9.6,0.226840266098645
9.7,0.237992969043204
9.8,0.249411984932535
9.9,0.261043362977922
10,0.272790422105056
10.1,0.284509258516703
10.2,0.296010517636523
10.3,0.307064901720927
10.4,0.317410640118189
10.5,0.326762324484429
10.6,0.334821842976051
10.7,0.341292984608143
10.8,0.345900693223391
10.9,0.348413342129973
11,0.348662655900701
11.1,0.346553868193145
11.2,0.342061087389756
11.3,0.335207400239717
11.4,0.326030202531193
11.5,0.31454667759992
11.6,0.30076384814695
11.7,0.284748341286616
11.8,0.266748637883514
11.9,0.247383812311133
12,0.22789409449717
12.1,0.210375965760403
12.2,0.19776436110672
12.3,0.193139560576571
12.4,0.198265549010212
12.5,0.212477955437161
12.6,0.233202587721071
12.7,0.25742053522775
12.8,0.282664248580826
12.9,0.307264029445653
13,0.330221276315513
13.1,0.351001733863136
13.2,0.369360958273533
13.3,0.385224145299152
13.4,0.398612386123462
13.5,0.409601299498012
13.6,0.418299665826141
13.7,0.424839095450386
13.8,0.429368872526779
13.9,0.432052434526377
14,0.433063403938589
14.1,0.432574807949283
14.2,0.430794561295579
14.3,0.427856321631475
14.4,0.423931617438931
14.5,0.419148955636282
14.6,0.413605905369662
14.7,0.407364912215898
14.8,0.400457319791823
14.9,0.392902249917217
15,0.383459129138299
