"Freq [GHz]","dB10normalize(S(2,2)) []"
1,0
1.1,-0.212094048381371
1.2,-0.429613780116037
1.3,-0.706370159259942
1.4,-1.09387401268111
1.5,-1.61875946576538
1.6,-2.28381829176945
1.7,-3.07505550988555
1.8,-3.95785099785266
1.9,-4.85808698053203
2,-5.6365181513174
2.1,-6.11081756431176
2.2,-6.19263851801839
2.3,-5.98135139616248
2.4,-5.64392142247523
2.5,-5.29209051074981
2.6,-4.97474573704299
2.7,-4.70681675297369
2.8,-4.48935511766292
2.9,-4.31882465352958
3,-4.1907279870347
3.1,-4.10079153844364
3.2,-4.04525467756715
3.3,-4.02094583812954
3.4,-4.02533291463078
3.5,-4.05647199084156
3.6,-4.11287003319209
3.7,-4.1935332061153
3.8,-4.29804806965675
3.9,-4.42630808533297
4,-4.57798383211703
4.1,-4.75171309172682
4.2,-4.94402294172618
4.3,-5.15099040869115
4.4,-5.3827369794599
4.5,-5.67052236611453
4.6,-6.02100158746551
4.7,-6.41597917637247
4.8,-6.84374192806371
4.9,-7.29595448036394
5,-7.75689774754752
5.1,-8.19445300629377
5.2,-8.55371609067786
5.3,-8.76305992778062
5.4,-8.76533174725832
5.5,-8.5581756499392
5.6,-8.19685588526347
5.7,-7.75574612662255
5.8,-7.29451322227741
5.9,-6.84970008784255
6,-6.44003210157307
6.1,-6.07345756695849
6.2,-5.75210293408691
6.3,-5.47518368757903
6.4,-5.24062841934144
6.5,-5.04598146890119
6.6,-4.88889460966321
6.7,-4.76737313128413
6.8,-4.67988312327433
6.9,-4.62539557205033
7,-4.6034060362312
7.1,-4.61393169777443
7.2,-4.65746627046291
7.3,-4.73486893250043
7.4,-4.8471665272905
7.5,-4.99525160540793
7.6,-5.17946300446722
7.7,-5.39904730610328
7.8,-5.65152978220064
7.9,-5.93208519351444
8,-6.23309442485803
8.1,-6.5541781293867
8.2,-6.87283650097272
8.3,-7.17800335015075
8.4,-7.45715570802175
8.5,-7.69342456887303
8.6,-7.86610468384509
8.7,-7.95622333147971
8.8,-7.9551307596433
8.9,-7.86971516695842
9,-7.71942031355603
9.1,-7.52774465888388
9.2,-7.31478070957564
9.3,-7.09413688315617
9.4,-6.87337711804305
9.5,-6.65589099626367
9.6,-6.44279851929569
9.7,-6.23435872989047
9.8,-6.03082681310536
9.9,-5.83287344241073
10,-5.64170882182514
10.1,-5.45903596202866
10.2,-5.28692857622296
10.3,-5.12769821655427
10.4,-4.98378519083487
10.5,-4.85768023167037
10.6,-4.75186217421521
10.7,-4.66872638698464
10.8,-4.6104856761041
10.9,-4.57905222486197
11,-4.57594565972955
11.1,-4.60229249246372
11.2,-4.65896328016364
11.3,-4.74686402190336
11.4,-4.86742166235539
11.5,-5.02314897691316
11.6,-5.2177436719561
11.7,-5.45538797089662
11.8,-5.73897789564913
11.9,-6.06628722063235
12,-6.42266928705197
12.1,-6.7700387732176
12.2,-7.03851969408328
12.3,-7.14128761019111
12.4,-7.0275274305434
12.5,-6.72686121277772
12.6,-6.3226663475888
12.7,-5.89356811043266
12.8,-5.4872911767225
12.9,-5.1248827842774
13,-4.81194948369587
13.1,-4.54690738219839
13.2,-4.32549011717778
13.3,-4.14286499736627
13.4,-3.99449210548988
13.5,-3.87638674190623
13.6,-3.78512482371129
13.7,-3.71775524513428
13.8,-3.67169443318171
13.9,-3.64463543361969
14,-3.63448514813337
14.1,-3.6393877636061
14.2,-3.6572978822974
14.3,-3.68702046871173
14.4,-3.72704191907368
14.5,-3.77631611604668
14.6,-3.83413269113464
14.7,-3.90016381048346
14.8,-3.97443763641222
14.9,-4.05715484235192
15,-4.16280918378917
