"Freq [GHz]","mag(S(1,2)) []"
1,0.164157863286076
1.1,0.233198801161271
1.2,0.307290691515338
1.3,0.374185989760817
1.4,0.425393668984702
1.5,0.458362995300187
1.6,0.475156496485575
1.7,0.479376774227741
1.8,0.474144105779629
1.9,0.461944223700537
2,0.445012957322329
2.1,0.425377944828866
2.2,0.404700005962872
2.3,0.384181033656531
2.4,0.364588930791528
2.5,0.346346493384797
2.6,0.329632252205776
2.7,0.314467093053847
2.8,0.300779393737637
2.9,0.288450424597964
3,0.27734480344175
3.1,0.26733140332943
3.2,0.258299727554053
3.3,0.250173079081924
3.4,0.242903727486428
3.5,0.236413521624326
3.6,0.230520078755311
3.7,0.225015151112117
3.8,0.21979580247756
3.9,0.214834828243717
4,0.210112033889593
4.1,0.205624149932865
4.2,0.201505810576924
4.3,0.198287298048988
4.4,0.196814814301193
4.5,0.196891995729366
4.6,0.197070513858771
4.7,0.196669968398209
4.8,0.195877149641517
4.9,0.194973958700617
5,0.194125629969207
5.1,0.193408967441012
5.2,0.192853858372074
5.3,0.192466165205184
5.4,0.192238187495675
5.5,0.192152901223374
5.6,0.19218511045628
5.7,0.192300834706845
5.8,0.19245551173404
5.9,0.192591628832087
6,0.192637104090098
6.1,0.192506912829921
6.2,0.192111395169284
6.3,0.191374021407962
6.4,0.19025770566368
6.5,0.188792376584652
6.6,0.187091293071666
6.7,0.185345258699242
6.8,0.183793959887107
6.9,0.182685526459296
7,0.182239876530685
7.1,0.18262613292608
7.2,0.183955193374753
7.3,0.186282130231312
7.4,0.189611645380894
7.5,0.193901639236381
7.6,0.199062720258345
7.7,0.204953883569846
7.8,0.21137635134358
7.9,0.218068832049265
8,0.224708285321126
8.1,0.231247466752673
8.2,0.237301595798947
8.3,0.242798012620607
8.4,0.247687928974908
8.5,0.251942752055894
8.6,0.255553080843012
8.7,0.258529175664751
8.8,0.260901004102217
8.9,0.2627160259452
9,0.264033905349709
9.1,0.264918913103624
9.2,0.265431912214309
9.3,0.265623857365277
9.4,0.265531922043163
9.5,0.26517840414494
9.6,0.26457194853768
9.7,0.263710429401235
9.8,0.262584883156399
9.9,0.261183994672672
10,0.259498725025503
10.1,0.257526718373876
10.2,0.255276167224303
10.3,0.252768879260247
10.4,0.25004237835432
10.5,0.247150940233202
10.6,0.244165388065504
10.7,0.241171072261173
10.8,0.238262722716711
10.9,0.235534756399157
11,0.233069115613661
11.1,0.23093322043131
11.2,0.229212260642718
11.3,0.228067747978749
11.4,0.227681288478958
11.5,0.228035827810593
11.6,0.228923362733415
11.7,0.230142627379749
11.8,0.23152165747641
11.9,0.232846075699015
12,0.233821922129403
12.1,0.234087500257605
12.2,0.23326589792785
12.3,0.231045896928495
12.4,0.227266357267669
12.5,0.22197022741492
12.6,0.215403097752867
12.7,0.207956754440906
12.8,0.200083560225356
12.9,0.192215475593866
13,0.184710510158931
13.1,0.177831512015777
13.2,0.171749563916575
13.3,0.166560454380684
13.4,0.162304798340417
13.5,0.158986287403292
13.6,0.156585822371274
13.7,0.155071245619856
13.8,0.15440326396154
13.9,0.154538359830954
14,0.155429381425186
14.1,0.157024569507811
14.2,0.159262352165381
14.3,0.162072447939719
14.4,0.165363411941343
14.5,0.169019583707249
14.6,0.172892621709242
14.7,0.176795209725818
14.8,0.180498276658833
14.9,0.183734990016307
15,0.186281355480764
