"Freq [GHz]","cang_deg(S(2,2)) [deg]"
1,-74.5030999191216
1.1,-82.0225480727013
1.2,-90.824810546033
1.3,-101.231720042927
1.4,-113.133280932664
1.5,-126.24957397312
1.6,-140.446747477374
1.7,-155.879268719212
1.8,-173.023656533064
1.9,-192.601694787279
2,-215.090666333371
2.1,-239.585840790099
2.2,-263.361525776996
2.3,-283.89065218016
2.4,-300.569261836413
2.5,-314.039802382049
2.6,-325.15226291643
2.7,-334.582854651083
2.8,-342.806439525723
2.9,-350.150652908233
3,-356.847339283412
3.1,-363.067178277334
3.2,-368.93994651003
3.3,-374.565704175371
3.4,-380.021536155523
3.5,-385.367088167591
3.6,-390.651618069485
3.7,-395.921176619545
3.8,-401.22102335331
3.9,-406.596212042344
4,-412.093514751559
4.1,-417.759665935503
4.2,-423.620552941086
4.3,-429.613090701511
4.4,-435.565992737837
4.5,-441.598725510547
4.6,-448.220811765777
4.7,-455.721827927886
4.8,-464.2333816566
4.9,-473.956454598533
5,-485.18681735747
5.1,-498.244474886459
5.2,-513.297063468353
5.3,-530.06238047938
5.4,-547.602975943699
5.5,-564.612685290096
5.6,-580.085313012925
5.7,-593.664586724006
5.8,-605.476430265455
5.9,-615.830551724176
6,-625.040825916706
6.1,-633.36302256975
6.2,-640.989099818032
6.3,-648.05946405339
6.4,-654.677186997829
6.5,-660.919189231249
6.6,-666.843749757256
6.7,-672.495199288411
6.8,-677.906837089398
6.9,-683.10267872901
7,-688.098179214333
7.1,-692.899924658012
7.2,-697.50439588602
7.3,-701.896067563153
7.4,-706.045213910376
7.5,-709.905883441985
7.6,-713.414655266342
7.7,-716.491036767061
7.8,-719.040664365741
7.9,-720.962623588981
8,-722.161734824354
8.1,-722.665840355087
8.2,-722.235563431039
8.3,-720.894385027384
8.4,-718.647021402345
8.5,-715.520090213487
8.6,-711.63231211241
8.7,-707.250097400034
8.8,-702.766639528906
8.9,-698.589063491828
9,-695.008232673022
9.1,-692.143522587633
9.2,-689.975200217424
9.3,-688.412191499108
9.4,-687.348601568902
9.5,-686.694573452039
9.6,-686.386480282936
9.7,-686.385477136378
9.8,-686.671214486341
9.9,-687.234623745712
10,-688.071670675409
10.1,-689.178784259786
10.2,-690.549992053233
10.3,-692.175417270122
10.4,-694.040623249509
10.5,-696.126294167728
10.6,-698.407902931055
10.7,-700.855309348048
10.8,-703.432569883836
10.9,-706.098452276717
11,-708.808015919265
11.1,-711.51503931778
11.2,-714.17414967585
11.3,-716.740454778773
11.4,-719.164670733267
11.5,-721.384751539005
11.6,-723.313297825445
11.7,-724.815786956898
11.8,-725.681652369854
11.9,-725.597260990608
12,-724.143549301987
12.1,-720.878732321638
12.2,-715.606611698743
12.3,-708.814707945335
12.4,-701.814878449463
12.5,-696.064033726753
12.6,-692.309253394893
12.7,-690.508154186388
12.8,-690.250102068995
12.9,-691.087586776202
13,-692.661001367153
13.1,-694.712804231022
13.2,-697.06691212131
13.3,-699.604413484534
13.4,-702.244305314304
13.5,-704.930106230683
13.6,-707.621143479466
13.7,-710.287125737848
13.8,-712.90489708315
13.9,-715.45658748104
14,-717.928627225885
14.1,-720.311334075626
14.2,-722.598107537588
14.3,-724.786610756074
14.4,-726.876786884817
14.5,-728.87121605192
14.6,-730.773678975052
14.7,-732.587321837433
14.8,-734.312105139806
14.9,-735.941635925924
15,-737.512267416792
