"Freq [GHz]","dB20normalize(S(2,1)) []"
1,-9.30830596138355
1.1,-6.2590135042575
1.2,-3.86255167813545
1.3,-2.15178932027793
1.4,-1.03771933074003
1.5,-0.389348797758404
1.6,-0.076806344407974
1.7,0
1.8,-0.0953326515711944
1.9,-0.321748954961511
2,-0.646086645377335
2.1,-1.03804039996762
2.2,-1.47087555757903
2.3,-1.92282135941935
2.4,-2.37747019348672
2.5,-2.82332387452589
2.6,-3.25294581787066
2.7,-3.66203565233775
2.8,-4.04857818103448
2.9,-4.4121161218865
3,-4.75313911346141
3.1,-5.07254020979776
3.2,-5.37106081149291
3.3,-5.64872829734199
3.4,-5.90485618667552
3.5,-6.14009352726031
3.6,-6.35936458772963
3.7,-6.56930453801053
3.8,-6.77315188772572
3.9,-6.9714459937395
4,-7.16452123815678
4.1,-7.35205737562289
4.2,-7.52778829585092
4.3,-7.66764187495158
4.4,-7.73238407774364
4.5,-7.72897855180975
4.6,-7.72110679326016
4.7,-7.73877881339572
4.8,-7.77386426056989
4.9,-7.81400758180458
5,-7.85188221147521
5.1,-7.88400764628927
5.2,-7.90897313148281
5.3,-7.92645190752039
5.4,-7.93674651137772
5.5,-7.94060085234897
5.6,-7.9391450200639
5.7,-7.93391638629057
5.8,-7.92693270598232
5.9,-7.92079164938863
6,-7.91874095565548
6.1,-7.92461318480119
6.2,-7.94247725361743
6.3,-7.97588011447825
6.4,-8.02669466852477
6.5,-8.09385070231994
6.6,-8.17246824132567
6.7,-8.2539101562018
6.8,-8.32691507642321
6.9,-8.37945695198102
7,-8.40067152345076
7.1,-8.38228131121531
7.2,-8.31929870881549
7.3,-8.21011586001047
7.4,-8.05623963555661
7.5,-7.86191016134345
7.6,-7.63374108232498
7.7,-7.38041673413784
7.8,-7.11241183159321
7.9,-6.8416678223085
8,-6.5811580577131
8.1,-6.33200009597631
8.2,-6.10752659821323
8.3,-5.90863722180674
8.4,-5.73544293655992
8.5,-5.5875023935171
8.6,-5.46391735340192
8.7,-5.36334854507102
8.8,-5.28402476283984
8.9,-5.22380845337869
9,-5.180345784404
9.1,-5.15128048185084
9.2,-5.13447705726166
9.3,-5.12819818951946
9.4,-5.13120499129268
9.5,-5.14277671979196
9.6,-5.16266385624989
9.7,-5.1909936551849
9.8,-5.22814536502036
9.9,-5.27460857539885
10,-5.33083520527539
10.1,-5.3970938988133
10.2,-5.47333436065479
10.3,-5.55906771641785
10.4,-5.6532673498815
10.5,-5.75429443375834
10.6,-5.8598577718252
10.7,-5.96703548766131
10.8,-6.07241776696972
10.9,-6.17243972678749
11,-6.26384520877519
11.1,-6.34381153406869
11.2,-6.40878288381661
11.3,-6.45226228925507
11.4,-6.46699296381874
11.5,-6.45347804406673
11.6,-6.41973743771554
11.7,-6.37359843683987
11.8,-6.32170731488897
11.9,-6.27216131551573
12,-6.23583524733913
12.1,-6.22597529389866
12.2,-6.25651472954646
12.3,-6.33957456489878
12.4,-6.48283675482078
12.5,-6.68764523360044
12.6,-6.94850087981075
12.7,-7.25407915685018
12.8,-7.58931164350318
12.9,-7.93777276287056
13,-8.28370761723454
13.1,-8.61336535138514
13.2,-8.91562691276175
13.3,-9.18210183471245
13.4,-9.40691258548338
13.5,-9.58634641425104
13.6,-9.71849102310988
13.7,-9.80291426537704
13.8,-9.8404102386803
13.9,-9.8328138010576
14,-9.78287740110626
14.1,-9.69418754470462
14.2,-9.57127726164615
14.3,-9.41935593843763
14.4,-9.24475128328391
14.5,-9.05479921918056
14.6,-8.85801057525918
14.7,-8.6641299012191
14.8,-8.48407857830891
14.9,-8.32970237137973
15,-8.21015198484898
