"Freq [GHz]","normalize(S(1,2)) []"
1,0.342440168384313
1.1,0.486462452289112
1.2,0.64102123431068
1.3,0.780567624210868
1.4,0.887388984729177
1.5,0.956164378298456
1.6,0.99119632412529
1.7,1
1.8,0.989084434771498
1.9,0.963634970519196
2,0.928315640738392
2.1,0.887356183482472
2.2,0.844221138195172
2.3,0.80141770379976
2.4,0.760547757823411
2.5,0.72249327044004
2.6,0.687626664301379
2.7,0.655991508058443
2.8,0.627438394824577
2.9,0.601719649565099
3,0.578552859363167
3.1,0.557664487938723
3.2,0.538824034539773
3.3,0.521871505946328
3.4,0.506707334492242
3.5,0.493168493624206
3.6,0.48087452531815
3.7,0.469391016022019
3.8,0.458503236481665
3.9,0.448154436747188
4,0.438302490203195
4.1,0.428940576572821
4.2,0.420349548435138
4.3,0.413635596694106
4.4,0.410563934012561
4.5,0.410724937699688
4.6,0.411097333983785
4.7,0.41026177940105
4.8,0.408607926316557
4.9,0.406723832239709
5,0.404954183026361
5.1,0.403459195019589
5.2,0.402301214285474
5.3,0.401492470124863
5.4,0.401016899088122
5.5,0.400838988357176
5.6,0.400906178164104
5.7,0.401147583790715
5.8,0.401470246538496
5.9,0.401754192497843
6,0.401849055787964
6.1,0.40157747137425
6.2,0.400752404992437
6.3,0.39921421248716
6.4,0.396885531156947
6.5,0.393828793413679
6.6,0.390280262061222
6.7,0.386637961336001
6.8,0.383401887133963
6.9,0.381089648645568
7,0.380160004256082
7.1,0.380965751251267
7.2,0.383738226932454
7.3,0.38859231453465
7.4,0.395537822386893
7.5,0.404486928989727
7.6,0.415253159853287
7.7,0.42754237290703
7.8,0.440939909289722
7.9,0.45490070394121
8,0.468750881147973
8.1,0.482391887102174
8.2,0.495021053494366
8.3,0.506486808860832
8.4,0.516687378886733
8.5,0.525563117783012
8.6,0.533094414627617
8.7,0.539302672894892
8.8,0.544250406212357
8.9,0.548036617686426
9,0.550785769241862
9.1,0.552631932430183
9.2,0.55370207003022
9.3,0.554102475642853
9.4,0.553910694715917
9.5,0.553173241595055
9.6,0.551908149834535
9.7,0.55011098488462
9.8,0.547763048344206
9.9,0.544840736377832
10,0.541325193410855
10.1,0.537211505060383
10.2,0.532516761237638
10.3,0.527286453682385
10.4,0.521598858762254
10.5,0.515567197913069
10.6,0.509339211226588
10.7,0.50309294322757
10.8,0.497026004442006
10.9,0.491335352611931
11,0.486191922812963
11.1,0.481736356133097
11.2,0.478146362038443
11.3,0.475758860754484
11.4,0.474952690075035
11.5,0.475692273948715
11.6,0.477543708917068
11.7,0.480087145962591
11.8,0.48296386041936
11.9,0.485726652222819
12,0.487762308689407
12.1,0.488316315772101
12.2,0.486602418950382
12.3,0.481971404018691
12.4,0.474087126214632
12.5,0.463039177841909
12.6,0.449339870709992
12.7,0.433806487133043
12.8,0.417382674719033
12.9,0.40096952111107
13,0.385313849333843
13.1,0.370963971507083
13.2,0.358276773407008
13.3,0.347452073891163
13.4,0.338574597406988
13.5,0.331652044802157
13.6,0.326644574350788
13.7,0.323485103903232
13.8,0.322091666227005
13.9,0.322373481860714
14,0.324232190171451
14.1,0.327559819227313
14.2,0.332227927441724
14.3,0.338089904753548
14.4,0.344954993298826
14.5,0.352581920514472
14.6,0.360661239768585
14.7,0.368802201588987
14.8,0.37652695408452
14.9,0.383278873517178
15,0.388590698372605
