"Freq [GHz]","mag(S(1,1)) []"
1,0.759746361635891
1.1,0.628658009432331
1.2,0.49403612958208
1.3,0.362559885276952
1.4,0.241365825475031
1.5,0.142023272200963
1.6,0.0790526664893771
1.7,0.0589200870156959
1.8,0.0559825090617667
1.9,0.0477611357280063
2,0.035933938634652
2.1,0.0376874527983309
2.2,0.0601372585511077
2.3,0.0907297421817049
2.4,0.122929213904989
2.5,0.154206943660263
2.6,0.183336327834285
2.7,0.209670671512702
2.8,0.232887014204235
2.9,0.252860904246701
3,0.269592448412174
3.1,0.283158314534123
3.2,0.293679074022636
3.3,0.30129677243195
3.4,0.30616175926005
3.5,0.308431009480827
3.6,0.308269361023819
3.7,0.305830270937553
3.8,0.301229466153995
3.9,0.294533208050996
4,0.285734406315107
4.1,0.274699736025976
4.2,0.261158596728561
4.3,0.245102297947078
4.4,0.227901499546827
4.5,0.211726877823531
4.6,0.196708429897426
4.7,0.181804682389981
4.8,0.166643106917475
4.9,0.151507431494396
5,0.137022186948
5.1,0.124060826305549
5.2,0.11373987687305
5.3,0.10732119501789
5.4,0.105873654277449
5.5,0.109776047691812
5.6,0.118496434734844
5.7,0.130893515234868
5.8,0.14569539023336
5.9,0.161785162588786
6,0.178274075211233
6.1,0.194480038631161
6.2,0.209886608676317
6.3,0.224106038536217
6.4,0.236849120438882
6.5,0.247900899535098
6.6,0.257102399016119
6.7,0.26433856958477
6.8,0.269531101308593
6.9,0.272633591527706
7,0.273627374686302
7.1,0.27251824195761
7.2,0.269335546368558
7.3,0.264135143799891
7.4,0.257006753008736
7.5,0.248085232088975
7.6,0.237564150043899
7.7,0.225708793144188
7.8,0.212864364251939
7.9,0.19945396121623
8,0.185960966780185
8.1,0.173400043101722
8.2,0.161249692008744
8.3,0.149894543302289
8.4,0.139816052698354
8.5,0.131549858592018
8.6,0.125604512922625
8.7,0.12235009305854
8.8,0.121916539156499
8.9,0.124159295955233
9,0.128717965413468
9.1,0.135131516994869
9.2,0.142946591922412
9.3,0.151781333297989
9.4,0.161344306414779
9.5,0.171425261776625
9.6,0.181874009882427
9.7,0.192577581395353
9.8,0.203440643606446
9.9,0.214371017076077
10,0.225270412073011
10.1,0.236029418860508
10.2,0.246524909761317
10.3,0.256617245382737
10.4,0.266144252604291
10.5,0.274909592925471
10.6,0.28266643960927
10.7,0.289105504326715
10.8,0.293868888742732
10.9,0.296616014331443
11,0.297138416026545
11.1,0.295452697696796
11.2,0.291773702273514
11.3,0.286364459245135
11.4,0.279377573335886
11.5,0.27079712817708
11.6,0.260508480192565
11.7,0.248445730285044
11.8,0.234762286039305
11.9,0.220013721189522
12,0.20533315563611
12.1,0.192515467946979
12.2,0.183829766050169
12.3,0.18136570273925
12.4,0.186076892238647
12.5,0.197276961421342
12.6,0.213105090174835
12.7,0.231440404704391
12.8,0.250522672273649
12.9,0.269129203479105
13,0.286506016765473
13.1,0.302231569576256
13.2,0.316094360872683
13.3,0.328006188581833
13.4,0.337948698830308
13.5,0.345944248479448
13.6,0.352042238137486
13.7,0.356314091417682
13.8,0.358852136159534
13.9,0.359769299985344
14,0.359197759358794
14.1,0.357285506046034
14.2,0.354191303146008
14.3,0.350075460677438
14.4,0.345092251525983
14.5,0.339378947718743
14.6,0.333047063919872
14.7,0.326176497366071
14.8,0.318816017140152
14.9,0.310993567185966
15,0.302705401921097
