"Freq [GHz]","dB20normalize(S(1,1)) []"
1,0
1.1,-1.64508351783447
1.2,-3.73819836564599
1.3,-6.4257775638806
1.4,-9.95985699531016
1.5,-14.5661822885877
1.6,-19.6550421090326
1.7,-22.2081049880002
1.8,-22.6523253977394
1.9,-24.0318796695594
2,-26.5032761428699
2.1,-26.0894368680691
2.2,-22.0305000543602
2.3,-18.4583790434201
2.4,-15.8202704901333
2.5,-13.8512939860804
2.6,-12.3484020125727
2.7,-11.1826188568822
2.8,-10.2704671207149
2.9,-9.55573884572128
3,-8.99921811998257
3.1,-8.57278620753889
3.2,-8.25591253597609
3.3,-8.03348299061837
3.4,-7.89435368397102
3.5,-7.83021187315699
3.6,-7.83476533463371
3.7,-7.9037631897326
3.8,-8.03542353649758
3.9,-8.23068722413906
4,-8.49412180904229
4.1,-8.83620773744549
4.2,-9.27528605182975
4.3,-9.82642491946923
4.4,-10.4584289238808
4.5,-11.097852712112
4.6,-11.7369131408197
4.7,-12.42127129293
4.8,-13.1776254978646
4.9,-14.0046938658648
5,-14.877554682857
5.1,-15.740679190085
5.2,-16.4951175035309
5.3,-16.9996625814886
5.4,-17.117614514906
5.5,-16.8032207659123
5.6,-16.1392669052337
5.7,-15.2750099563453
5.8,-14.3444563587976
5.9,-13.4345987850458
6,-12.591608734262
6.1,-11.8358719370585
6.2,-11.1736779726402
6.3,-10.6043014040013
6.4,-10.1239370536289
6.5,-9.72781052601448
6.6,-9.41124999805711
6.7,-9.17016186769087
6.8,-9.00119486232262
6.9,-8.90178528381816
7,-8.87018170642018
7.1,-8.90546100712698
7.2,-9.00749908882913
7.3,-9.17684880011349
7.4,-9.41448188245662
7.5,-9.72135432818432
7.6,-10.0977545105749
7.7,-10.5424030068085
7.8,-11.0513133385225
7.9,-11.6165192600779
8,-12.2249366722774
8.1,-12.8323885572743
8.2,-13.4633947032349
8.3,-14.0976561138544
8.4,-14.7022318407509
8.5,-15.2315648674696
8.6,-15.6332677047552
8.7,-15.8612864989341
8.8,-15.8921200619604
8.9,-15.7337877539924
9,-15.4205892501293
9.1,-14.9982395349226
9.2,-14.5098964684002
9.3,-13.989005309211
9.4,-13.4582996902057
9.5,-12.9318761524823
9.6,-12.4179597381518
9.7,-11.9212580181496
9.8,-11.4446181569672
9.9,-10.9900512100776
10,-10.5592895095959
10.1,-10.1540498372948
10.2,-9.77615640905442
10.3,-9.42765580311361
10.4,-9.11103073904467
10.5,-8.82957468425166
10.6,-8.58788760548206
10.7,-8.39224537206071
10.8,-8.25030036514995
10.9,-8.16948068046356
11,-8.15419650098053
11.1,-8.20361338398393
11.2,-8.31244965676361
11.3,-8.47499024714523
11.4,-8.68954176383562
11.5,-8.96049149284411
11.6,-9.29693527470277
11.7,-9.70874182933433
11.8,-10.2008059814836
11.9,-10.7643772489356
12,-11.3641909470648
12.1,-11.9240599932214
12.2,-12.3250558891804
12.3,-12.4422693192708
12.4,-12.2195236975136
12.5,-11.7118451783573
12.6,-11.0414961133663
12.7,-10.3245889778662
12.8,-9.63643186744166
12.9,-9.01415605812427
13,-8.47069764322997
13.1,-8.00657604770504
13.2,-7.61703761731865
13.3,-7.29573182429548
13.4,-7.0363570058613
13.5,-6.83325028699495
13.6,-6.68147711128137
13.7,-6.57671261798004
13.8,-6.51506186260341
13.9,-6.49289055599942
14,-6.50670020078658
14.1,-6.55306460725645
14.2,-6.62861471374726
14.3,-6.73013919933954
14.4,-6.85466841833675
14.5,-6.99967460399137
14.6,-7.16326039208407
14.7,-7.34431928389734
14.8,-7.54256993938467
14.9,-7.75834446189081
15,-7.99296915478947
