"Freq [GHz]","mag(S(2,1)) []"
1,0.164157863286533
1.1,0.233198801163197
1.2,0.307290691518464
1.3,0.374185989763114
1.4,0.425393668985356
1.5,0.458362995299872
1.6,0.475156496485133
1.7,0.479376774227477
1.8,0.47414410577945
1.9,0.461944223700274
2,0.445012957321916
2.1,0.425377944828346
2.2,0.404700005962336
2.3,0.384181033656063
2.4,0.364588930791175
2.5,0.34634649338457
2.6,0.329632252205658
2.7,0.314467093053805
2.8,0.300779393737638
2.9,0.288450424597981
3,0.27734480344177
3.1,0.267331403329446
3.2,0.258299727554058
3.3,0.250173079081893
3.4,0.242903727486337
3.5,0.23641352162421
3.6,0.230520078755236
3.7,0.22501515111204
3.8,0.219795802477386
3.9,0.214834828243411
4,0.21011203388918
4.1,0.205624149932409
4.2,0.201505810576522
4.3,0.198287298048744
4.4,0.196814814301091
4.5,0.196891995729281
4.6,0.197070513858686
4.7,0.196669968398156
4.8,0.195877149641501
4.9,0.194973958700626
5,0.19412562996923
5.1,0.19340896744104
5.2,0.1928538583721
5.3,0.192466165205204
5.4,0.192238187495684
5.5,0.19215290122337
5.6,0.192185110456264
5.7,0.192300834706818
5.8,0.192455511734005
5.9,0.19259162883205
6,0.192637104090066
6.1,0.192506912829898
6.2,0.192111395169275
6.3,0.191374021407966
6.4,0.190257705663696
6.5,0.188792376584673
6.6,0.187091293071686
6.7,0.185345258699256
6.8,0.183793959887115
6.9,0.182685526459298
7,0.182239876530684
7.1,0.18262613292608
7.2,0.183955193374755
7.3,0.186282130231316
7.4,0.189611645380899
7.5,0.193901639236383
7.6,0.199062720258343
7.7,0.204953883569839
7.8,0.21137635134357
7.9,0.218068832049256
8,0.224708285321126
8.1,0.231247466752673
8.2,0.237301595798947
8.3,0.242798012620607
8.4,0.247687928974908
8.5,0.251942752055894
8.6,0.255553080843012
8.7,0.258529175664751
8.8,0.260901004102217
8.9,0.2627160259452
9,0.264033905349708
9.1,0.264918913103624
9.2,0.265431912214309
9.3,0.265623857365276
9.4,0.265531922043163
9.5,0.26517840414494
9.6,0.264571948537679
9.7,0.263710429401233
9.8,0.262584883156398
9.9,0.26118399467267
10,0.2594987250255
10.1,0.257526718373873
10.2,0.255276167224299
10.3,0.252768879260243
10.4,0.250042378354316
10.5,0.247150940233198
10.6,0.244165388065499
10.7,0.241171072261168
10.8,0.238262722716707
10.9,0.235534756399153
11,0.23306911561366
11.1,0.230933220431316
11.2,0.229212260642733
11.3,0.228067747978769
11.4,0.22768128847897
11.5,0.228035827810594
11.6,0.228923362733412
11.7,0.230142627379746
11.8,0.231521657476408
11.9,0.232846075699013
12,0.233821922129401
12.1,0.234087500257602
12.2,0.233265897927847
12.3,0.231045896928494
12.4,0.22726635726767
12.5,0.221970227414923
12.6,0.215403097752871
12.7,0.207956754440912
12.8,0.200083560225363
12.9,0.192215475593872
13,0.184710510158935
13.1,0.17783151201578
13.2,0.171749563916577
13.3,0.166560454380684
13.4,0.162304798340417
13.5,0.158986287403292
13.6,0.156585822371274
13.7,0.155071245619857
13.8,0.154403263961542
13.9,0.154538359830958
14,0.155429381425191
14.1,0.157024569507819
14.2,0.15926235216539
14.3,0.16207244793973
14.4,0.165363411941354
14.5,0.16901958370726
14.6,0.172892621709252
14.7,0.176795209725824
14.8,0.180498276658836
14.9,0.183734990016304
15,0.186281355480755
