"Freq [GHz]","dB10normalize(S(2,1)) []"
1,-4.65415298069177
1.1,-3.12950675212875
1.2,-1.93127583906772
1.3,-1.07589466013897
1.4,-0.518859665370015
1.5,-0.194674398879202
1.6,-0.038403172203987
1.7,0
1.8,-0.0476663257855972
1.9,-0.160874477480756
2,-0.323043322688667
2.1,-0.51902019998381
2.2,-0.735437778789515
2.3,-0.961410679709676
2.4,-1.18873509674336
2.5,-1.41166193726294
2.6,-1.62647290893533
2.7,-1.83101782616888
2.8,-2.02428909051724
2.9,-2.20605806094325
3,-2.37656955673071
3.1,-2.53627010489888
3.2,-2.68553040574645
3.3,-2.824364148671
3.4,-2.95242809333776
3.5,-3.07004676363016
3.6,-3.17968229386481
3.7,-3.28465226900527
3.8,-3.38657594386286
3.9,-3.48572299686975
4,-3.58226061907839
4.1,-3.67602868781144
4.2,-3.76389414792546
4.3,-3.83382093747579
4.4,-3.86619203887182
4.5,-3.86448927590487
4.6,-3.86055339663008
4.7,-3.86938940669786
4.8,-3.88693213028494
4.9,-3.90700379090229
5,-3.92594110573761
5.1,-3.94200382314463
5.2,-3.9544865657414
5.3,-3.96322595376019
5.4,-3.96837325568886
5.5,-3.97030042617449
5.6,-3.96957251003195
5.7,-3.96695819314529
5.8,-3.96346635299116
5.9,-3.96039582469432
6,-3.95937047782774
6.1,-3.9623065924006
6.2,-3.97123862680872
6.3,-3.98794005723913
6.4,-4.01334733426239
6.5,-4.04692535115997
6.6,-4.08623412066283
6.7,-4.1269550781009
6.8,-4.16345753821161
6.9,-4.18972847599051
7,-4.20033576172538
7.1,-4.19114065560765
7.2,-4.15964935440774
7.3,-4.10505793000524
7.4,-4.0281198177783
7.5,-3.93095508067173
7.6,-3.81687054116249
7.7,-3.69020836706892
7.8,-3.55620591579661
7.9,-3.42083391115425
8,-3.29057902885655
8.1,-3.16600004798815
8.2,-3.05376329910661
8.3,-2.95431861090337
8.4,-2.86772146827996
8.5,-2.79375119675855
8.6,-2.73195867670096
8.7,-2.68167427253551
8.8,-2.64201238141992
8.9,-2.61190422668935
9,-2.590172892202
9.1,-2.57564024092542
9.2,-2.56723852863083
9.3,-2.56409909475973
9.4,-2.56560249564634
9.5,-2.57138835989598
9.6,-2.58133192812494
9.7,-2.59549682759245
9.8,-2.61407268251018
9.9,-2.63730428769943
10,-2.66541760263769
10.1,-2.69854694940665
10.2,-2.7366671803274
10.3,-2.77953385820893
10.4,-2.82663367494075
10.5,-2.87714721687917
10.6,-2.9299288859126
10.7,-2.98351774383066
10.8,-3.03620888348486
10.9,-3.08621986339375
11,-3.13192260438759
11.1,-3.17190576703435
11.2,-3.20439144190831
11.3,-3.22613114462754
11.4,-3.23349648190937
11.5,-3.22673902203336
11.6,-3.20986871885777
11.7,-3.18679921841993
11.8,-3.16085365744448
11.9,-3.13608065775787
12,-3.11791762366957
12.1,-3.11298764694933
12.2,-3.12825736477323
12.3,-3.16978728244939
12.4,-3.24141837741039
12.5,-3.34382261680022
12.6,-3.47425043990537
12.7,-3.62703957842509
12.8,-3.79465582175159
12.9,-3.96888638143528
13,-4.14185380861727
13.1,-4.30668267569257
13.2,-4.45781345638088
13.3,-4.59105091735622
13.4,-4.70345629274169
13.5,-4.79317320712552
13.6,-4.85924551155494
13.7,-4.90145713268852
13.8,-4.92020511934015
13.9,-4.9164069005288
14,-4.89143870055313
14.1,-4.84709377235231
14.2,-4.78563863082307
14.3,-4.70967796921881
14.4,-4.62237564164196
14.5,-4.52739960959028
14.6,-4.42900528762959
14.7,-4.33206495060955
14.8,-4.24203928915445
14.9,-4.16485118568986
15,-4.10507599242449
