"Freq [GHz]","mag(S(2,2)) []"
1,0.834122179521462
1.1,0.794365299549562
1.2,0.755558840298255
1.3,0.708912531414288
1.4,0.648398898027806
1.5,0.574584257215388
1.6,0.493001045377962
1.7,0.41088862490358
1.8,0.335308505189929
1.9,0.272534176250427
2,0.227812659580832
2.1,0.204243344245752
2.2,0.200431426557908
2.3,0.21042364038159
2.4,0.227424645855397
2.5,0.24661564160487
2.6,0.265310901708018
2.7,0.282194141970394
2.8,0.29668402178545
2.9,0.308565384205727
3,0.317802179028462
3.1,0.324452044755
3.2,0.328627725959953
3.3,0.330472317125376
3.4,0.330138655203859
3.5,0.327780014617171
3.6,0.323550940097835
3.7,0.317596968759223
3.8,0.310045093077111
3.9,0.301022432463109
4,0.290690799348518
4.1,0.279291912646378
4.2,0.267194414426664
4.3,0.254759641153516
4.4,0.241521596842849
4.5,0.226035906028623
4.6,0.208511259011685
4.7,0.19038457187551
4.8,0.172526366742193
4.9,0.155465569219372
5,0.139810534035817
5.1,0.126410854988987
5.2,0.116374562227057
5.3,0.110897990468915
5.4,0.110839994261024
5.5,0.116255124170104
5.6,0.126340933315274
5.7,0.139847612583326
5.8,0.155517170886387
5.9,0.172289837175201
6,0.189333062256386
6.1,0.206007917845689
6.2,0.221829538629212
6.3,0.236434746327893
6.4,0.249555317046511
6.5,0.260994600370875
6.6,0.27060773634174
6.7,0.278286639371697
6.8,0.283949662631275
6.9,0.287534599911857
7,0.288994159409824
7.1,0.288294594562022
7.2,0.285419106532566
7.3,0.280377252791367
7.4,0.273220333191141
7.5,0.264061149077641
7.6,0.253094885387892
7.7,0.240616241523398
7.8,0.227026571783402
7.9,0.212824268817617
8,0.198573013613905
8.1,0.184421630093697
8.2,0.171374428396969
8.3,0.159745757966419
8.4,0.149800788224261
8.5,0.141868903618134
8.6,0.136338716423054
8.7,0.133538759080872
8.8,0.133572358181774
8.9,0.136225419087618
9,0.141022249499917
9.1,0.147385650801385
9.2,0.154793100200982
9.3,0.162860581465902
9.4,0.171353096747817
9.5,0.180152614680585
9.6,0.189212497161431
9.7,0.198515214049101
9.8,0.208040068470701
9.9,0.217742058876757
10,0.227540541438849
10.1,0.237315482807987
10.2,0.246908938132253
10.3,0.256129645078003
10.4,0.264759254938686
10.5,0.272559702284452
10.6,0.279282325414576
10.7,0.284680048176728
10.8,0.288523440129479
10.9,0.29061929631181
11,0.290827254457634
11.1,0.289068267858859
11.2,0.285320739743024
11.3,0.279603927279675
11.4,0.271949023125142
11.5,0.26237036028088
11.6,0.250873796537596
11.7,0.237514907049114
11.8,0.222500955215778
11.9,0.206348324703291
12,0.19009151880205
12.1,0.175479259079
12.2,0.164959639918007
12.3,0.161101991219947
12.4,0.165377691864417
12.5,0.177232575289509
12.6,0.194519450739944
12.7,0.214720177897752
12.8,0.235776519099036
12.9,0.256295741929755
13,0.275444890724655
13.1,0.292778331265731
13.2,0.308092167545255
13.3,0.321324003681221
13.4,0.332491432297553
13.5,0.341657528672105
13.6,0.348913028952
13.7,0.354367712243002
13.8,0.358146099770709
13.9,0.360384518354695
14,0.361227790364239
14.1,0.360820241612734
14.2,0.359335298393861
14.3,0.356884447521282
14.4,0.35361076470622
14.5,0.34962144041948
14.6,0.34499785924989
14.7,0.339792108438094
14.8,0.334030332390078
14.9,0.327728481039835
15,0.31985176455424
