"Freq [GHz]","im(S(2,2)) []"
1,-0.803797592954794
1.1,-0.786678037468261
1.2,-0.755480552524893
1.3,-0.695335065130836
1.4,-0.596263378638295
1.5,-0.463372900204734
1.6,-0.313940658819361
1.7,-0.167914042780658
1.8,-0.0407264121762674
1.9,0.0594593558834719
2,0.130963111309718
2.1,0.176137129530734
2.2,0.199087606224972
2.3,0.204269940302271
2.4,0.195816030260159
2.5,0.177281395003045
2.6,0.151597992808283
2.7,0.121119258264521
2.8,0.0876999996401575
2.9,0.0527826198980148
3,0.0174780227789533
3.1,-0.0173603891370374
3.2,-0.0510684700719931
3.3,-0.0831105050255418
3.4,-0.113030670028296
3.5,-0.140426258121782
3.6,-0.164951658356621
3.7,-0.186325156585825
3.8,-0.204309018826242
3.9,-0.21870160041234
4,-0.229359270089028
4.1,-0.236230079970942
4.2,-0.23937178084045
4.3,-0.238801906202368
4.4,-0.233898060251453
4.5,-0.223610333536692
4.6,-0.208410736542558
4.7,-0.189436011204919
4.8,-0.167230197955665
4.9,-0.14207288172302
5,-0.114264004087007
5.1,-0.0841837647527144
5.2,-0.0522946301609799
5.3,-0.019138317262453
5.4,0.0146650039759638
5.5,0.0484181767390737
5.6,0.0813544053163193
5.7,0.112655952954035
5.8,0.14148806048275
5.9,0.167048094076771
6,0.188624302973772
6.1,0.205653150591575
6.2,0.217761953743577
6.3,0.22478685779411
6.4,0.226764549021055
6.5,0.223905405408952
6.6,0.216560264350585
6.7,0.205190184459178
6.8,0.19034227007916
6.9,0.172630838916985
7,0.152723389103106
7.1,0.131331471813031
7.2,0.109204931804061
7.3,0.0871248948000695
7.4,0.0658887580068162
7.5,0.0462808439239467
7.6,0.0290256957284378
7.7,0.0147268412503621
7.8,0.00380105665516678
7.9,-0.00357548191487214
8,-0.00749026135349436
8.1,-0.00857761709288789
8.2,-0.00668498109100171
8.3,-0.00249352418302443
8.4,0.00353705677021516
8.5,0.0110813135884064
8.6,0.0198407056834317
8.7,0.0294714401932003
8.8,0.0395727092776926
8.9,0.0497297016846063
9,0.0595802127305726
9.1,0.0688671774731011
9.2,0.0774545668227641
9.3,0.0853071318472697
9.4,0.0924495037304658
9.5,0.0989221566656288
9.6,0.10474578167418
9.7,0.10989854925756
9.8,0.114306088601602
9.9,0.117842036750613
10,0.120336643779097
10.1,0.121591171819282
10.2,0.121396227478142
10.3,0.119552642313115
10.4,0.11589407029638
10.5,0.110310900983601
10.6,0.102774863272977
10.7,0.0933622049436814
10.8,0.0822706011995126
10.9,0.0698225252049876
11,0.0564487294799964
11.1,0.0426519661512951
11.2,0.028961524618153
11.3,0.0158980316805052
11.4,0.0039646712643493
11.5,-0.00634047384308075
11.6,-0.014499434558809
11.7,-0.0199399484281218
11.8,-0.0220278396374875
11.9,-0.0201262505145576
12,-0.0137351685923916
12.1,-0.00269117992760819
12.2,0.0126365636051415
12.3,0.031250972102951
12.4,0.0516124296813922
12.5,0.0719059872064518
12.6,0.0903930033113264
12.7,0.105706676663039
12.8,0.116995835293483
12.9,0.123911825892427
13,0.126499247600895
13.1,0.12506196582051
13.2,0.120049919372632
13.3,0.111981366316099
13.4,0.101396240440641
13.5,0.0888299879526528
13.6,0.0747981948862725
13.7,0.059785681902413
13.8,0.0442370105569542
13.9,0.0285476537758781
14,0.0130563618785976
14.1,-0.0019606170740161
14.2,-0.0162886663474854
14.3,-0.0297802135264449
14.4,-0.0423394498416496
14.5,-0.053916535073944
14.6,-0.0644904647733891
14.7,-0.0740499731557818
14.8,-0.0825735459596257
14.9,-0.0900132584242999
15,-0.0962465912440123
