"Freq [GHz]","ang_rad(S(2,1)) [rad]"
1,0.809706049961092
1.1,0.659831752583101
1.2,0.427434320163025
1.3,0.156283126616587
1.4,-0.12406830470329
1.5,-0.396230988155532
1.6,-0.652415967350286
1.7,-0.891168972499144
1.8,-1.11340479796367
1.9,-1.31994482638143
2,-1.51124810875902
2.1,-1.68792783671578
2.2,-1.85101891380254
2.3,-2.00191888926756
2.4,-2.14220829184157
2.5,-2.27348250198615
2.6,-2.39723533718449
2.7,-2.51479217135049
2.8,-2.62727898769714
2.9,-2.73561444332225
3,-2.84051621093686
3.1,-2.94251831695117
3.2,-3.04200566334378
3.3,-3.13929287420365
3.4,3.04839657269076
3.5,2.95404280445018
3.6,2.86022514307899
3.7,2.76689040262628
3.8,2.67428607304641
3.9,2.58239947193858
4,2.49078467258162
4.1,2.39848498687885
4.2,2.30393205397987
4.3,2.20578571836846
4.4,2.10660692820683
4.5,2.01360619285121
4.6,1.92849379289237
4.7,1.84676735498786
4.8,1.76522702747641
4.9,1.68290538998011
5,1.59969430961865
5.1,1.51566401882703
5.2,1.43087121307644
5.3,1.3453252260922
5.4,1.25899347404594
5.5,1.17181383511306
5.6,1.08370686128921
5.7,0.994587938017819
5.8,0.904382489445521
5.9,0.813049356817101
6,0.720618098227944
6.1,0.627242942699738
6.2,0.533266984209398
6.3,0.439275042023595
6.4,0.346099126472463
6.5,0.254740699284855
6.6,0.166201373723583
6.7,0.0812619089620634
6.8,0.000286845415647052
6.9,-0.0768735497744934
7,-0.15086002667239
7.1,-0.222689679274774
7.2,-0.293605340717944
7.3,-0.364936333560841
7.4,-0.437993199473179
7.5,-0.513996648364487
7.6,-0.594029224494768
7.7,-0.678996344317552
7.8,-0.769587233967771
7.9,-0.866232128923446
8,-0.969057768399431
8.1,-1.07586458434125
8.2,-1.18560017890651
8.3,-1.29774301952534
8.4,-1.41180948608825
8.5,-1.52735209932349
8.6,-1.6439548237654
8.7,-1.76123421442677
8.8,-1.87884902092982
8.9,-1.99651536840469
9,-2.11402071899143
9.1,-2.23122963556443
9.2,-2.34807802107659
9.3,-2.46455728520174
9.4,-2.5806928428201
9.5,-2.69652162971352
9.6,-2.8120719745827
9.7,-2.92734757259162
9.8,-3.04231619764479
9.9,3.12628206658462
10,3.01219535821489
10.1,2.89876915583638
10.2,2.78619813049288
10.3,2.67470064785048
10.4,2.56450420895813
10.5,2.45582668714296
10.6,2.34885179543395
10.7,2.24369593980705
10.8,2.14036385098712
10.9,2.03869490543113
11,1.93830992893724
11.1,1.83857364599871
11.2,1.7386245602562
11.3,1.63767887248816
11.4,1.53563812407652
11.5,1.43286513712285
11.6,1.32903551346499
11.7,1.22308241443592
11.8,1.11385753063807
11.9,1.00047083448973
12,0.882427376219574
12.1,0.759758337435763
12.2,0.633138360505789
12.3,0.503913701929401
12.4,0.373983268471691
12.5,0.245533745042894
12.6,0.120696992467855
12.7,0.00123357825637706
12.8,-0.111670606327934
12.9,-0.217462801226032
13,-0.316161317046151
13.1,-0.408226234056792
13.2,-0.494414463714073
13.3,-0.575652649040365
13.4,-0.652941776239424
13.5,-0.727293865128014
13.6,-0.799694606420016
13.7,-0.871084244578097
13.8,-0.942349965917332
13.9,-1.01432482628907
14,-1.08778987831035
14.1,-1.16347710929962
14.2,-1.24207251663057
14.3,-1.32421299394011
14.4,-1.41048293658536
14.5,-1.50139790088371
14.6,-1.59737879773263
14.7,-1.69871141922439
14.8,-1.80549149960407
14.9,-1.91755924542975
15,-2.03458785761332
