"Freq [GHz]","ang_deg(S(1,1)) [deg]"
1,-84.8610756142414
1.1,-98.0871772490076
1.2,-110.604136366875
1.3,-122.10133540581
1.4,-131.088810008647
1.5,-133.291000644221
1.6,-119.513627158456
1.7,-91.0022449360276
1.8,-72.9488561265548
1.9,-61.3610804795916
2,-38.8143103140104
2.1,2.42783440387594
2.2,25.8615018226696
2.3,31.7430081378401
2.4,31.1492332461698
2.5,28.0163270498924
2.6,23.7630990021329
2.7,18.9866602899424
2.8,13.9683345315731
2.9,8.84978660110375
3,3.70405409086005
3.1,-1.4322807867392
3.2,-6.54306731571407
3.3,-11.6237694412153
3.4,-16.6759284100168
3.5,-21.7038829608682
3.6,-26.7149185456931
3.7,-31.7204641518037
3.8,-36.7331816920398
3.9,-41.7638903047997
4,-46.8240102474464
4.1,-51.9403009697263
4.2,-57.2060766011548
4.3,-62.8873415170018
4.4,-69.3673281783842
4.5,-76.6216988812682
4.6,-84.2681603504953
4.7,-92.2570602080503
4.8,-100.846238988336
4.9,-110.380374441154
5,-121.23721468813
5.1,-133.801948278137
5.2,-148.352545254401
5.3,-164.798689258451
5.4,177.599272512504
5.5,160.121691313082
5.6,143.953396356662
5.7,129.657506838424
5.8,117.218777714503
5.9,106.352907935773
6,96.7333282296169
6.1,88.0823907395934
6.2,80.1880040248882
6.3,72.894119919472
6.4,66.0866390802489
6.5,59.6817332386736
6.6,53.6177138343194
6.7,47.8496277664742
6.8,42.3455250082743
6.9,37.0838176131891
7,32.0516441636975
7.1,27.2443101888694
7.2,22.6657608334903
7.3,18.3298863082613
7.4,14.2623721280571
7.5,10.5027440744199
7.6,7.1061361960359
7.7,4.14407435419412
7.8,1.70323591911604
7.9,-0.119125900451246
8,-1.22422844135874
8.1,-1.61374589081269
8.2,-1.25341673198973
8.3,-0.00994621444138505
8.4,2.22369021341278
8.5,5.47658563725896
8.6,9.63998697010611
8.7,14.4340263516793
8.8,19.4450579326252
8.9,24.2369567913547
9,28.4727430961456
9.1,31.9731173974099
9.2,34.6995654676178
9.3,36.7012066204641
9.4,38.0642651734351
9.5,38.879564215217
9.6,39.226946713709
9.7,39.1705740522996
9.8,38.7597686380809
9.9,38.0319884456391
10,37.0160592923526
10.1,35.7347602474942
10.2,34.2064482125739
10.3,32.4458193579385
10.4,30.464283763832
10.5,28.270866320741
10.6,25.8750069602759
10.7,23.2927096710787
10.8,20.5560764258779
10.9,17.7221015705291
11,14.8714961939015
11.1,12.0905010129893
11.2,9.44413407168631
11.3,6.96355885330323
11.4,4.66055445732959
11.5,2.55734968789555
11.6,0.715166830457835
11.7,-0.741290277262057
11.8,-1.60455237374782
11.9,-1.57803841459781
12,-0.304761776520256
12.1,2.52222305426692
12.2,6.92503534480617
12.3,12.3757044860567
12.4,17.835545484511
12.5,22.2691243542858
12.6,25.1483808443414
12.7,26.4802885316947
12.8,26.544939955607
12.9,25.672487594724
13,24.143728648412
13.1,22.1688950355765
13.2,19.8970326756429
13.3,17.4321426450175
13.4,14.8475522797366
13.5,12.1965659857969
13.6,9.51967726526517
13.7,6.84914383630705
13.8,4.21168923540949
13.9,1.62992835114951
14,-0.877041799323887
14.1,-3.29357519574942
14.2,-5.60751594094064
14.3,-7.81071241418179
14.4,-9.89867365608398
14.5,-11.8704146300053
14.6,-13.7273675313503
14.7,-15.4714859941514
14.8,-17.1024339463937
14.9,-18.6142369585002
15,-19.9874592900937
