"Freq [GHz]","re(S(2,2)) []"
1,0.222865968532016
1.1,0.110244702791342
1.2,-0.0108763923028887
1.3,-0.138080137585791
1.4,-0.254737343666998
1.5,-0.339753769656221
1.6,-0.380120104024805
1.7,-0.37501244820967
1.8,-0.332826010107314
1.9,-0.265968912135275
2,-0.186406199846921
2.1,-0.103397559300798
2.2,-0.0231707099513339
2.3,0.0505163332037001
2.4,0.115663528545542
2.5,0.171436815386765
2.6,0.217733605907819
2.7,0.254879695228669
2.8,0.283425684873311
2.9,0.30401741951199
3,0.317321199599045
3.1,0.323987262457509
3.2,0.324635478089066
3.3,0.319850897045193
3.4,0.310186394435293
3.5,0.296175967985837
3.6,0.27834539917806
3.7,0.257197921041977
3.8,0.233207599720619
3.9,0.206843213142439
4,0.178593017920938
4.1,0.14899436830496
4.2,0.118718177370106
4.3,0.0887475315419168
4.4,0.0602028168122316
4.5,0.0330249837212655
4.6,0.00647379551934117
4.7,-0.0189811186970442
4.8,-0.0424194308421364
4.9,-0.0631255850794277
5,-0.0805650221708207
5.1,-0.0943016331306427
5.2,-0.103963024147365
5.3,-0.10923410228681
5.4,-0.109865563240575
5.5,-0.105692639559575
5.6,-0.096661740966127
5.7,-0.0828612756918101
5.8,-0.0645501292123834
5.9,-0.0421749008199825
6,-0.0163670642156468
6.1,0.0120848610614721
6.2,0.0422856442569984
6.3,0.0732956876916061
6.4,0.104190669320539
6.5,0.134106490713186
6.6,0.162265827802422
6.7,0.187990536608631
6.8,0.210706504715747
6.9,0.229945079532678
7,0.2453430060015
7.1,0.25664336688312
7.2,0.263701249984748
7.3,0.266497010468994
7.4,0.265156599083253
7.5,0.259973794713797
7.6,0.2514249987511
7.7,0.240165142832246
7.8,0.226994749419515
7.9,0.212794232362697
8,0.198431695352744
8.1,0.184222045725869
8.2,0.171243994744927
8.3,0.159726295660466
8.4,0.149759024375875
8.5,0.141435463385132
8.6,0.134887330738915
8.7,0.130246053259965
8.8,0.127575763962687
8.9,0.126823978710484
9,0.127818125103589
9.1,0.13030672250132
9.2,0.134021244391064
9.3,0.13873089869025
9.4,0.144273951304653
9.5,0.150563513165946
9.6,0.157574396091273
9.7,0.16531968751496
9.8,0.173824015020642
9.9,0.183097948045182
10,0.193116001828609
10.1,0.203799473296675
10.2,0.215004603866224
10.3,0.226516138064678
10.4,0.2380462718587
10.5,0.249239435951807
10.6,0.259684317524556
10.7,0.268935361226371
10.8,0.276545337480891
10.9,0.282107054790855
11,0.285296394781742
11.1,0.285904307883512
11.2,0.28384706202337
11.3,0.279151587383815
11.4,0.271920121654292
11.5,0.262293736763507
11.6,0.250454443335833
11.7,0.2366764236827
11.8,0.221407880060396
11.9,0.205364469049736
12,0.189594648300548
12.1,0.175458621667651
12.2,0.164474922289484
12.3,0.158041856220599
12.4,0.157117593123067
12.5,0.161990477336222
12.6,0.17224088268622
12.7,0.186897975658641
12.8,0.204701102787547
12.9,0.224350990047578
13,0.244679030942017
13.1,0.264723735172832
13.2,0.283740727709926
13.3,0.301179828241715
13.4,0.316653367226344
13.5,0.329907714578883
13.6,0.340801308410362
13.7,0.349288058369883
13.8,0.355403595476966
13.9,0.35925204597001
14,0.360991756063661
14.1,0.360814914794498
14.2,0.358965925988004
14.3,0.355639772473341
14.4,0.351066865288116
14.5,0.345439081238085
14.6,0.338916660611896
14.7,0.331625207775937
14.8,0.323663208388411
14.9,0.315124690547278
15,0.305027449522775
