"Freq [GHz]","dB10normalize(S(1,1)) []"
1,0
1.1,-0.822541758917237
1.2,-1.869099182823
1.3,-3.2128887819403
1.4,-4.97992849765508
1.5,-7.28309114429386
1.6,-9.82752105451631
1.7,-11.1040524940001
1.8,-11.3261626988697
1.9,-12.0159398347797
2,-13.251638071435
2.1,-13.0447184340345
2.2,-11.0152500271801
2.3,-9.22918952171005
2.4,-7.91013524506665
2.5,-6.92564699304022
2.6,-6.17420100628634
2.7,-5.59130942844112
2.8,-5.13523356035747
2.9,-4.77786942286064
3,-4.49960905999128
3.1,-4.28639310376945
3.2,-4.12795626798805
3.3,-4.01674149530918
3.4,-3.94717684198551
3.5,-3.91510593657849
3.6,-3.91738266731685
3.7,-3.9518815948663
3.8,-4.01771176824879
3.9,-4.11534361206953
4,-4.24706090452115
4.1,-4.41810386872274
4.2,-4.63764302591488
4.3,-4.91321245973462
4.4,-5.22921446194042
4.5,-5.54892635605601
4.6,-5.86845657040984
4.7,-6.21063564646499
4.8,-6.58881274893231
4.9,-7.00234693293242
5,-7.43877734142851
5.1,-7.87033959504248
5.2,-8.24755875176545
5.3,-8.49983129074432
5.4,-8.55880725745299
5.5,-8.40161038295617
5.6,-8.06963345261685
5.7,-7.63750497817263
5.8,-7.1722281793988
5.9,-6.71729939252292
6,-6.29580436713098
6.1,-5.91793596852924
6.2,-5.58683898632011
6.3,-5.30215070200067
6.4,-5.06196852681443
6.5,-4.86390526300724
6.6,-4.70562499902855
6.7,-4.58508093384544
6.8,-4.50059743116131
6.9,-4.45089264190908
7,-4.43509085321009
7.1,-4.45273050356349
7.2,-4.50374954441457
7.3,-4.58842440005674
7.4,-4.70724094122831
7.5,-4.86067716409216
7.6,-5.04887725528747
7.7,-5.27120150340425
7.8,-5.52565666926125
7.9,-5.80825963003895
8,-6.1124683361387
8.1,-6.41619427863716
8.2,-6.73169735161744
8.3,-7.04882805692722
8.4,-7.35111592037547
8.5,-7.6157824337348
8.6,-7.81663385237761
8.7,-7.93064324946703
8.8,-7.94606003098018
8.9,-7.86689387699622
9,-7.71029462506465
9.1,-7.49911976746131
9.2,-7.2549482342001
9.3,-6.99450265460548
9.4,-6.72914984510283
9.5,-6.46593807624117
9.6,-6.2089798690759
9.7,-5.96062900907478
9.8,-5.7223090784836
9.9,-5.4950256050388
10,-5.27964475479795
10.1,-5.07702491864738
10.2,-4.88807820452721
10.3,-4.71382790155681
10.4,-4.55551536952234
10.5,-4.41478734212583
10.6,-4.29394380274103
10.7,-4.19612268603035
10.8,-4.12515018257498
10.9,-4.08474034023178
11,-4.07709825049026
11.1,-4.10180669199196
11.2,-4.1562248283818
11.3,-4.23749512357261
11.4,-4.34477088191781
11.5,-4.48024574642205
11.6,-4.64846763735139
11.7,-4.85437091466717
11.8,-5.10040299074182
11.9,-5.38218862446781
12,-5.68209547353241
12.1,-5.9620299966107
12.2,-6.16252794459017
12.3,-6.22113465963541
12.4,-6.10976184875678
12.5,-5.85592258917866
12.6,-5.52074805668315
12.7,-5.16229448893309
12.8,-4.81821593372083
12.9,-4.50707802906213
13,-4.23534882161498
13.1,-4.00328802385252
13.2,-3.80851880865932
13.3,-3.64786591214774
13.4,-3.51817850293065
13.5,-3.41662514349748
13.6,-3.34073855564069
13.7,-3.28835630899002
13.8,-3.25753093130171
13.9,-3.24644527799971
14,-3.25335010039329
14.1,-3.27653230362823
14.2,-3.31430735687363
14.3,-3.36506959966977
14.4,-3.42733420916837
14.5,-3.49983730199569
14.6,-3.58163019604203
14.7,-3.67215964194867
14.8,-3.77128496969234
14.9,-3.8791722309454
15,-3.99648457739474
