"Freq [GHz]","cang_deg(S(2,1)) [deg]"
1,46.3927393089794
1.1,37.805574611732
1.2,24.4901825643849
1.3,8.95436356423907
1.4,-7.10859023084164
1.5,-22.7023633336101
1.6,-37.3806814161163
1.7,-51.0602209572111
1.8,-63.7933958129344
1.9,-75.6272677417839
2,-86.5881384290195
2.1,-96.7111411664616
2.2,-106.055571559775
2.3,-114.701503282549
2.4,-122.739493960451
2.5,-130.260952160649
2.6,-137.351467320292
2.7,-144.086977770923
2.8,-150.531997598449
2.9,-156.739161977395
3,-162.749590525174
3.1,-168.59388070124
3.2,-174.294085764493
3.3,-179.868232347363
3.4,-185.339742102675
3.5,-190.745814804015
3.6,-196.121170844372
3.7,-201.468857554261
3.8,-206.774694803826
3.9,-212.039409241107
4,-217.288550585199
4.1,-222.576933026351
4.2,-227.994417022047
4.3,-233.617787827255
4.4,-239.30031392073
4.5,-244.62886354822
4.6,-249.505444850091
4.7,-254.188024816657
4.8,-258.859941443178
4.9,-263.576623834322
5,-268.344267547757
5.1,-273.158848561374
5.2,-278.017118463955
5.3,-282.918542472434
5.4,-287.864987502655
5.5,-292.860012872982
5.6,-297.908170618759
5.7,-303.01430879696
5.8,-308.182700289237
5.9,-313.415703318554
6,-318.711624330795
6.1,-324.061626653939
6.2,-329.446052451132
6.3,-334.831394046616
6.4,-340.169980759963
6.5,-345.404433060767
6.6,-350.477362736362
6.7,-355.344035581297
6.8,-359.983564968311
6.9,-364.404529958267
7,-368.643642825559
7.1,-372.759178763566
7.2,-376.822346865639
7.3,-380.909311704015
7.4,-385.095161785245
7.5,-389.449838635155
7.6,-394.035367470979
7.7,-398.903624834207
7.8,-404.0941004735
7.9,-409.631445065946
8,-415.522920233653
8.1,-421.64250001035
8.2,-427.929886441298
8.3,-434.355197911366
8.4,-440.89072502939
8.5,-447.510829121682
8.6,-454.19167311193
8.7,-460.911287220693
8.8,-467.650119241566
8.9,-474.391904342595
9,-481.124465001421
9.1,-487.840041242355
9.2,-494.534960575119
9.3,-501.20873081028
9.4,-507.86280811321
9.5,-514.499308748323
9.6,-521.119855830608
9.7,-527.724661077366
9.8,-534.311878069335
9.9,-540.877232017264
10,-547.41391890539
10.1,-553.912761587875
10.2,-560.362606235518
10.3,-566.75094141726
10.4,-573.064732283163
10.5,-579.291495611114
10.6,-585.420705419909
10.7,-591.445692138417
10.8,-597.36618471607
10.9,-603.191386203974
11,-608.943021683594
11.1,-614.657489760294
11.2,-620.384150539531
11.3,-626.167912408685
11.4,-632.014416631028
11.5,-637.902875031427
11.6,-643.851874255454
11.7,-649.922539656151
11.8,-656.180664515575
11.9,-662.677243657807
12,-669.440635615815
12.1,-676.469053815055
12.2,-683.723844095186
12.3,-691.127871640632
12.4,-698.572337108064
12.5,-705.931952681001
12.6,-713.08457173167
12.7,-719.929321172211
12.8,-726.398254438257
12.9,-732.459700711344
13,-738.114709112042
13.1,-743.389640297974
13.2,-748.32786210104
13.3,-752.982467255539
13.4,-757.410808046294
13.5,-761.670868937592
13.6,-765.819125847242
13.7,-769.909450814666
13.8,-773.99267587136
13.9,-778.116531601704
14,-782.325769024232
14.1,-786.662327922949
14.2,-791.165513052124
14.3,-795.871815729151
14.4,-800.814719341559
14.5,-806.023763090438
14.6,-811.523063393761
14.7,-817.328994932236
14.8,-823.447042874059
14.9,-829.868051729415
15,-836.573297289807
