"Freq [GHz]","im(S(2,1)) []"
1,0.118864158611774
1.1,0.142947117408671
1.2,0.127383459053639
1.3,0.0582411945719628
1.4,-0.0526425743770732
1.5,-0.176902491312479
1.6,-0.288471286569914
1.7,-0.372862601895398
1.8,-0.42540563528118
1.9,-0.447486018948665
2,-0.444224184636315
2.1,-0.422463231385859
2.2,-0.388914237596679
2.3,-0.349027398571245
2.4,-0.306669675016377
2.5,-0.264300108357168
2.6,-0.223325600855543
2.7,-0.184452701265375
2.8,-0.147964639395308
2.9,-0.113914162990659
3,-0.0822461577626857
3.1,-0.0528680020976665
3.2,-0.0256807947746039
3.3,-0.000575342383076674
3.4,0.022604919708248
3.5,0.044079838233626
3.6,0.0640084280100119
3.7,0.0823545226370913
3.8,0.0990143336292316
3.9,0.113970401468668
4,0.127292053456868
4.1,0.139121098139926
4.2,0.149734861344772
4.3,0.159636739178779
4.4,0.1692322156963
4.5,0.177902010881811
4.6,0.184597027405136
4.7,0.189228186091114
4.8,0.192186397467037
4.9,0.193749982012885
5,0.194044579092612
5.1,0.193115101706629
5.2,0.19096899025269
5.3,0.187594633568862
5.4,0.182968855550139
5.5,0.177060588544426
5.6,0.169833769235658
5.7,0.161250889285531
5.8,0.151278418986174
5.9,0.139895926541008
6,0.127111445915427
6.1,0.112985145360393
6.2,0.097659715434146
6.3,0.0813882033488814
6.4,0.0645412801097527
6.5,0.0475746375909142
6.6,0.0309518726291134
6.7,0.0150449385702614
6.8,5.27204540942613E-005
6.9,-0.0140298570386316
7,-0.0273885479529258
7.1,-0.0403336538282235
7.2,-0.0532375812171037
7.3,-0.0664821961919755
7.4,-0.080418650865163
7.5,-0.0953339497873379
7.6,-0.11141630911628
7.7,-0.128713558210339
7.8,-0.147083877277299
7.9,-0.166145311599451
8,-0.185238882653496
8.1,-0.203498032579513
8.2,-0.219913261973322
8.3,-0.233802829939133
8.4,-0.244564136217033
8.5,-0.251705030960443
8.6,-0.25486950459484
8.7,-0.253855340967326
8.8,-0.248619299713789
8.9,-0.239266524593896
9,-0.226025287219261
9.1,-0.209213482965047
9.2,-0.189205875765201
9.3,-0.166409374896217
9.4,-0.141249268347963
9.5,-0.114165133229507
9.6,-0.0856127133337431
9.7,-0.0560674294410386
9.8,-0.0260256966360334
9.9,0.00399872404432163
10,0.0334848072762514
10.1,0.0619208175918847
10.2,0.0888259618693617
10.3,0.113774587205011
10.4,0.136419673564168
10.5,0.156512288520889
10.6,0.173914059612495
10.7,0.188600060323955
10.8,0.200649205070754
10.9,0.210219015327213
11,0.21750559506904
11.1,0.222703077770627
11.2,0.225991797871763
11.3,0.227557833235327
11.4,0.227540584642159
11.5,0.225870072402485
11.6,0.222265795028066
11.7,0.216369546667636
11.8,0.207769228448628
11.9,0.19599242930971
12,0.180576745118993
12.1,0.161226890143462
12.2,0.138018237921252
12.3,0.111562002666426
12.4,0.0830263691191046
12.5,0.0539552124126208
12.6,0.025935428679307
12.7,0.000256530865483884
12.8,-0.0222970430832725
12.9,-0.0414710419618271
13,-0.0574302727409493
13.1,-0.070595899361355
13.2,-0.081497970388501
13.3,-0.0906725753824283
13.4,-0.0986043336456656
13.5,-0.105702137035015
13.6,-0.112294471461678
13.7,-0.118633788651108
13.8,-0.124903262162252
13.9,-0.131222249271595
14,-0.137648664448965
14.1,-0.144177778802095
14.2,-0.150734667586132
14.3,-0.157170090533626
14.4,-0.163243007532864
14.5,-0.168612735915662
14.6,-0.172831539943119
14.7,-0.175350795274711
14.8,-0.175549965684215
14.9,-0.172798675025596
15,-0.166603118018057
