"Freq [GHz]","dBc(S(1,1)) []"
1,-2.3866274208864
1.1,-4.03171093872087
1.2,-6.12482578653239
1.3,-8.812404984767
1.4,-12.3464844161966
1.5,-16.9528097094741
1.6,-22.041669529919
1.7,-24.5947324088866
1.8,-25.0389528186258
1.9,-26.4185070904458
2,-28.8899035637563
2.1,-28.4760642889555
2.2,-24.4171274752466
2.3,-20.8450064643065
2.4,-18.2068979110197
2.5,-16.2379214069668
2.6,-14.7350294334591
2.7,-13.5692462777687
2.8,-12.6570945416013
2.9,-11.9423662666077
3,-11.385845540869
3.1,-10.9594136284253
3.2,-10.6425399568625
3.3,-10.4201104115048
3.4,-10.2809811048574
3.5,-10.2168392940434
3.6,-10.2213927555201
3.7,-10.290390610619
3.8,-10.422050957384
3.9,-10.6173146450254
4,-10.8807492299287
4.1,-11.2228351583319
4.2,-11.6619134727161
4.3,-12.2130523403556
4.4,-12.8450563447672
4.5,-13.4844801329984
4.6,-14.1235405617061
4.7,-14.8078987138164
4.8,-15.564252918751
4.9,-16.3913212867512
5,-17.2641821037434
5.1,-18.1273066109714
5.2,-18.8817449244173
5.3,-19.3862900023751
5.4,-19.5042419357924
5.5,-19.1898481867987
5.6,-18.5258943261201
5.7,-17.6616373772316
5.8,-16.731083779684
5.9,-15.8212262059322
6,-14.9782361551484
6.1,-14.2224993579449
6.2,-13.5603053935266
6.3,-12.9909288248877
6.4,-12.5105644745153
6.5,-12.1144379469009
6.6,-11.7978774189435
6.7,-11.5567892885773
6.8,-11.387822283209
6.9,-11.2884127047045
7,-11.2568091273066
7.1,-11.2920884280134
7.2,-11.3941265097155
7.3,-11.5634762209999
7.4,-11.801109303343
7.5,-12.1079817490707
7.6,-12.4843819314613
7.7,-12.9290304276949
7.8,-13.4379407594089
7.9,-14.0031466809643
8,-14.6115640931638
8.1,-15.2190159781607
8.2,-15.8500221241213
8.3,-16.4842835347409
8.4,-17.0888592616373
8.5,-17.618192288356
8.6,-18.0198951256416
8.7,-18.2479139198205
8.8,-18.2787474828468
8.9,-18.1204151748789
9,-17.8072166710157
9.1,-17.384866955809
9.2,-16.8965238892866
9.3,-16.3756327300974
9.4,-15.8449271110921
9.5,-15.3185035733688
9.6,-14.8045871590382
9.7,-14.307885439036
9.8,-13.8312455778536
9.9,-13.376678630964
10,-12.9459169304823
10.1,-12.5406772581812
10.2,-12.1627838299408
10.3,-11.814283224
10.4,-11.4976581599311
10.5,-11.2162021051381
10.6,-10.9745150263685
10.7,-10.7788727929471
10.8,-10.6369277860364
10.9,-10.55610810135
11,-10.5408239218669
11.1,-10.5902408048703
11.2,-10.69907707765
11.3,-10.8616176680316
11.4,-11.076169184722
11.5,-11.3471189137305
11.6,-11.6835626955892
11.7,-12.0953692502207
11.8,-12.58743340237
11.9,-13.151004669822
12,-13.7508183679512
12.1,-14.3106874141078
12.2,-14.7116833100668
12.3,-14.8288967401572
12.4,-14.6061511184
12.5,-14.0984725992437
12.6,-13.4281235342527
12.7,-12.7112163987526
12.8,-12.0230592883281
12.9,-11.4007834790107
13,-10.8573250641164
13.1,-10.3932034685914
13.2,-10.003665038205
13.3,-9.6823592451819
13.4,-9.42298442674769
13.5,-9.21987770788136
13.6,-9.06810453216777
13.7,-8.96334003886645
13.8,-8.90168928348982
13.9,-8.87951797688582
14,-8.89332762167298
14.1,-8.93969202814285
14.2,-9.01524213463365
14.3,-9.11676662022595
14.4,-9.24129583922316
14.5,-9.38630202487778
14.6,-9.54988781297045
14.7,-9.73094670478374
14.8,-9.92919736027107
14.9,-10.1449718827772
15,-10.3795965756759
