"Freq [GHz]","normalize(S(1,1)) []"
1,1
1.1,0.827457742711266
1.2,0.650264554763142
1.3,0.477211742740413
1.4,0.317692637520923
1.5,0.186935113312234
1.6,0.104051391992402
1.7,0.077552312180645
1.8,0.0736857876373699
1.9,0.0628645797331187
2,0.0472972829475337
2.1,0.0496053086943148
2.2,0.0791543883429987
2.3,0.119421094674735
2.4,0.161802964926738
2.5,0.202971611905089
2.6,0.241312544675468
2.7,0.27597456480244
2.8,0.306532582403924
2.9,0.332822790624807
3,0.354845330001563
3.1,0.372701112940409
3.2,0.386548838997115
3.3,0.396575472613249
3.4,0.402978908119836
3.5,0.405965760489739
3.6,0.405752994144061
3.7,0.402542593661176
3.8,0.396486882155494
3.9,0.387673074757219
4,0.376091838991979
4.1,0.361567688767198
4.2,0.343744451985572
4.3,0.322610689993068
4.4,0.299970504703844
4.5,0.278681002654149
4.6,0.258913289790388
4.7,0.239296548914716
4.8,0.2193404474602
4.9,0.199418436395232
5,0.18035254114671
5.1,0.163292425696414
5.2,0.149707695378948
5.3,0.141259241816974
5.4,0.139353947085026
5.5,0.144490389470825
5.6,0.155968413563306
5.7,0.172285807269978
5.8,0.191768460621052
5.9,0.212946281493772
6,0.234649462259183
6.1,0.2559802171509
6.2,0.276258787504277
6.3,0.294974809821623
6.4,0.311747620520217
6.5,0.326294289848676
6.6,0.338405567961556
6.7,0.347930023666839
6.8,0.354764583180414
6.9,0.358848169987507
7,0.360156215947025
7.1,0.358696343567639
7.2,0.354507188147139
7.3,0.347662268801332
7.4,0.338279675937305
7.5,0.326536913654705
7.6,0.312688763039779
7.7,0.297084401507617
7.8,0.280178194988124
7.9,0.262527037032154
8,0.244767169900982
8.1,0.228234121093196
8.2,0.212241479724286
8.3,0.19729550659451
8.4,0.184029907556649
8.5,0.173149705263168
8.6,0.165324270394888
8.7,0.161040709421885
8.8,0.160470053313565
8.9,0.163422034279825
9,0.169422286059142
9.1,0.177863987007325
9.2,0.188150413270316
9.3,0.199778953822394
9.4,0.212366013925189
9.5,0.225634857148261
9.6,0.239387799753083
9.7,0.253476148251232
9.8,0.267774422990847
9.9,0.282161294743804
10,0.296507391740525
10.1,0.310668705740543
10.2,0.324483172555769
10.3,0.337766994803618
10.4,0.350306715561266
10.5,0.361843908450623
10.6,0.372053693025434
10.7,0.380528975096651
10.8,0.386798678587906
10.9,0.390414524253553
11,0.391102124381017
11.1,0.388883333459638
11.2,0.384040933931247
11.3,0.376921132769274
11.4,0.367724792698354
11.5,0.356430964136502
11.6,0.342888749913374
11.7,0.327011411742846
11.8,0.309000869097698
11.9,0.289588384096749
12,0.270265401724313
12.1,0.253394392745038
12.2,0.241962022239035
12.3,0.238718751280009
12.4,0.244919754321673
12.5,0.259661607324534
12.6,0.280495045367477
12.7,0.30462851339762
12.8,0.329745142489688
12.9,0.354235593704739
13,0.377107454846598
13.1,0.397805879485213
13.2,0.416052483873784
13.3,0.431731173908577
13.4,0.444817791693841
13.5,0.455341763973122
13.6,0.463368113246987
13.7,0.468990849328274
13.8,0.472331496773281
13.9,0.473538694164572
14,0.472786415963042
14.1,0.470269453185303
14.2,0.46619677438581
14.3,0.460779384219298
14.4,0.454220341092425
14.5,0.446700326393127
14.6,0.438366118927839
14.7,0.429322881736144
14.8,0.419634806086698
14.9,0.409338672601645
15,0.398429551237744
