"Freq [GHz]","cang_rad(S(2,1)) [rad]"
1,0.80970604996109
1.1,0.659831752583101
1.2,0.427434320163025
1.3,0.156283126616587
1.4,-0.12406830470329
1.5,-0.396230988155533
1.6,-0.652415967350286
1.7,-0.891168972499144
1.8,-1.11340479796367
1.9,-1.31994482638143
2,-1.51124810875902
2.1,-1.68792783671578
2.2,-1.85101891380254
2.3,-2.00191888926756
2.4,-2.14220829184157
2.5,-2.27348250198615
2.6,-2.39723533718449
2.7,-2.51479217135048
2.8,-2.62727898769714
2.9,-2.73561444332225
3,-2.84051621093686
3.1,-2.94251831695117
3.2,-3.04200566334378
3.3,-3.13929287420365
3.4,-3.23478873448883
3.5,-3.3291425027294
3.6,-3.42296016410059
3.7,-3.51629490455331
3.8,-3.60889923413318
3.9,-3.700785835241
4,-3.79240063459797
4.1,-3.88470032030073
4.2,-3.97925325319972
4.3,-4.07739958881113
4.4,-4.17657837897275
4.5,-4.26957911432837
4.6,-4.35469151428722
4.7,-4.43641795219172
4.8,-4.51795827970317
4.9,-4.60027991719947
5,-4.68349099756094
5.1,-4.76752128835255
5.2,-4.85231409410314
5.3,-4.93786008108739
5.4,-5.02419183313365
5.5,-5.11137147206652
5.6,-5.19947844589037
5.7,-5.28859736916177
5.8,-5.37880281773407
5.9,-5.47013595036249
6,-5.56256720895164
6.1,-5.65594236447985
6.2,-5.74991832297019
6.3,-5.84391026515599
6.4,-5.93708618070712
6.5,-6.02844460789473
6.6,-6.116983933456
6.7,-6.20192339821752
6.8,-6.28289846176394
6.9,-6.36005885695408
7,-6.43404533385198
7.1,-6.50587498645436
7.2,-6.57679064789753
7.3,-6.64812164074043
7.4,-6.72117850665277
7.5,-6.79718195554407
7.6,-6.87721453167435
7.7,-6.96218165149714
7.8,-7.05277254114736
7.9,-7.14941743610303
8,-7.25224307557902
8.1,-7.35904989152084
8.2,-7.46878548608609
8.3,-7.58092832670493
8.4,-7.69499479326784
8.5,-7.81053740650307
8.6,-7.92714013094498
8.7,-8.04441952160635
8.8,-8.16203432810941
8.9,-8.27970067558428
9,-8.39720602617101
9.1,-8.51441494274402
9.2,-8.63126332825617
9.3,-8.74774259238133
9.4,-8.86387814999969
9.5,-8.97970693689311
9.6,-9.09525728176228
9.7,-9.21053287977121
9.8,-9.32550150482438
9.9,-9.44008854777455
10,-9.55417525614428
10.1,-9.66760145852279
10.2,-9.78017248386629
10.3,-9.89166996650869
10.4,-10.001866405401
10.5,-10.1105439272162
10.6,-10.2175188189252
10.7,-10.3226746745521
10.8,-10.426006763372
10.9,-10.527675708928
11,-10.6280606854219
11.1,-10.7277969683605
11.2,-10.827746054103
11.3,-10.928691741871
11.4,-11.0307324902827
11.5,-11.1335054772363
11.6,-11.2373351008942
11.7,-11.3432881999232
11.8,-11.4525130837211
11.9,-11.5658997798694
12,-11.6839432381396
12.1,-11.8066122769234
12.2,-11.9332322538534
12.3,-12.0624569124298
12.4,-12.1923873458875
12.5,-12.3208368693163
12.6,-12.4456736218913
12.7,-12.5651370361028
12.8,-12.6780412206871
12.9,-12.7838334155852
13,-12.8825319314053
13.1,-12.974596848416
13.2,-13.0607850780732
13.3,-13.1420232633995
13.4,-13.2193123905986
13.5,-13.2936644794872
13.6,-13.3660652207792
13.7,-13.4374548589373
13.8,-13.5087205802765
13.9,-13.5806954406482
14,-13.6541604926695
14.1,-13.7298477236588
14.2,-13.8084431309897
14.3,-13.8905836082993
14.4,-13.9768535509445
14.5,-14.0677685152429
14.6,-14.1637494120918
14.7,-14.2650820335836
14.8,-14.3718621139632
14.9,-14.4839298597889
15,-14.6009584719725
