"Freq [GHz]","mag(S(1,2)) []"
1.5,0.981565394193554
1.6,1.15898884028731
1.7,1.2373090355751
1.8,0.711636292693004
1.9,0.320332942836171
2,0.191621670542026
2.1,0.163646689770924
2.2,0.159805267108013
2.3,0.158015081616929
2.4,0.15427912509956
2.5,0.148653633362297
2.6,0.141841714019865
2.7,0.134455816087171
2.8,0.12688536377752
2.9,0.119306544046533
3,0.111730133788492
3.1,0.104069934561053
3.2,0.0962299326732002
3.3,0.0881924668701356
3.4,0.0800667710166904
3.5,0.0720652879106594
3.6,0.0644242993626107
3.7,0.0573251510135644
3.8,0.0508583185138526
3.9,0.0450308116890395
4,0.039794421888287
4.1,0.0350756650290889
4.2,0.0308007536743412
4.3,0.0269192490088921
4.4,0.0234385950568441
4.5,0.0204936524327684
4.6,0.0184837344207173
4.7,0.0182263645885714
4.8,0.0207616307339578
4.9,0.0265272151739743
5,0.0349061177482034
5.1,0.0446922349379959
5.2,0.053975726600314
5.3,0.0608445059483984
5.4,0.0638455153686922
5.5,0.0625321485350479
5.6,0.0576357293102553
5.7,0.0506253928005899
5.8,0.0430631431124003
5.9,0.0362529834745554
6,0.0311917808154475
6.1,0.0284864388290016
6.2,0.0280572009192243
6.3,0.0290442904324798
6.4,0.0302376846026106
6.5,0.0305756116454337
6.6,0.0294767519126134
6.7,0.027158559297979
6.8,0.0248860936710008
6.9,0.0245819210319741
7,0.0271599495603651
7.1,0.0316028228855953
7.2,0.0364133343674026
7.3,0.04072159339083
7.4,0.0442773312711088
7.5,0.0471687217061514
7.6,0.0496023195911276
7.7,0.0517848866797749
7.8,0.0539011263981824
7.9,0.0561292622566825
8,0.0586643597481885
8.1,0.061692448251056
8.2,0.0653895462357311
8.3,0.0697394576927125
8.4,0.0740175860004704
8.5,0.0778725219673601
8.6,0.0809107379045344
8.7,0.0827599663216889
8.8,0.0831445350278526
8.9,0.0819166726959875
9,0.0790448934278843
9.1,0.0746081920576598
9.2,0.0688037810534646
9.3,0.0619280164605831
9.4,0.0543235904943587
9.5,0.0463330911670971
9.6,0.0382914079419964
9.7,0.0305763708241831
9.8,0.0237751211241675
9.9,0.0190240767609922
10,0.0179717549171942
10.1,0.0209166267867832
10.2,0.0261286795730025
10.3,0.0320089486483516
10.4,0.0377213237976614
10.5,0.042880357453942
10.6,0.0473336489986828
10.7,0.0510536578245901
10.8,0.0540794651422742
10.9,0.0564509574815891
11,0.0582254670340284
11.1,0.0594097603911397
11.2,0.0599738677551549
11.3,0.0598562938348993
11.4,0.0589807696459553
11.5,0.0572783225155373
11.6,0.0547006708165426
11.7,0.0512963365199277
11.8,0.0471080067959928
11.9,0.0422886120225036
12,0.0370480804670906
12.1,0.0315492341033921
12.2,0.0259934163738911
12.3,0.0205524919310691
12.4,0.0154023922371107
12.5,0.010809025178867
12.6,0.00742235143763377
12.7,0.00667642423885994
12.8,0.00879749987270004
12.9,0.0120663845517133
13,0.015534206013719
13.1,0.0188895623833887
13.2,0.0220041903464459
13.3,0.0243985920195858
13.4,0.0276930435645065
13.5,0.0299888725365516
13.6,0.0320634536824386
13.7,0.0339259341574352
13.8,0.0355998536396155
13.9,0.037116282482662
14,0.038505292769244
14.1,0.0397929482368139
14.2,0.0410029533422718
14.3,0.0421627392440759
14.4,0.0433065665379477
14.5,0.0444576063290768
14.6,0.0455740254351415
14.7,0.0465120080163268
14.8,0.0471357879473413
14.9,0.0474458230129084
15,0.0474968961644731
