"Freq [GHz]","ang_rad(S(2,1)) [rad]"
1.5,-1.46745785437328
1.6,-1.16146647639534
1.7,-0.481544422645167
1.8,0.251762125331273
1.9,0.824662047498355
2,1.42526225339515
2.1,1.87792158955125
2.2,2.10943819513833
2.3,2.20461819575372
2.4,2.22863160302124
2.5,2.21422760100994
2.6,2.17743391220458
2.7,2.12617596622418
2.8,2.06425584503819
2.9,1.99337106887673
3,1.9143637086812
3.1,1.82815909078364
3.2,1.73645712949668
3.3,1.64200041326245
3.4,1.5482479760709
3.5,1.45859386218027
3.6,1.37560810804577
3.7,1.30074020813714
3.8,1.23455086330427
3.9,1.17724508761065
4,1.12927973583699
4.1,1.09198561940892
4.2,1.06831616235948
4.3,1.06396320540934
4.4,1.08909660504767
4.5,1.16022534867891
4.6,1.29706951729754
4.7,1.49736902607873
4.8,1.69293324637221
4.9,1.78799322019442
5,1.75454861319928
5.1,1.60662060542887
5.2,1.38286753931504
5.3,1.11458444684145
5.4,0.827421837450897
5.5,0.544389802043149
5.6,0.285833693476289
5.7,0.068473788162205
5.8,-0.0940034909048211
5.9,-0.19033415250319
6,-0.217205687535307
6.1,-0.194686001053579
6.2,-0.171127656520923
6.3,-0.190972311926168
6.4,-0.264852473642134
6.5,-0.375581249945736
6.6,-0.49103783093041
6.7,-0.56845344675002
6.8,-0.565573346610762
6.9,-0.489732491514105
7,-0.430420303504721
7.1,-0.452830245992578
7.2,-0.544380870858287
7.3,-0.672369348880526
7.4,-0.814075285336205
7.5,-0.957835202633901
7.6,-1.09899436942
7.7,-1.23659748135276
7.8,-1.37110166834346
7.9,-1.50356441871731
8,-1.63636972334503
8.1,-1.77350792572485
8.2,-1.9200612412614
8.3,-2.08206645878135
8.4,-2.25899696427098
8.5,-2.4507148414565
8.6,-2.6558520373227
8.7,-2.87193977492824
8.8,-3.09590960213609
8.9,2.95853858341747
9,2.72807580119717
9.1,2.49915493150382
9.2,2.27546966240403
9.3,2.06111125151921
9.4,1.86079444629107
9.5,1.68088838700743
9.6,1.53177952064208
9.7,1.43284442527591
9.8,1.42126922298573
9.9,1.54989838528825
10,1.79655709632869
10.1,1.97996112224423
10.2,2.01066653062497
10.3,1.93405906122471
10.4,1.79909783398538
10.5,1.63356963819797
10.6,1.45204625463209
10.7,1.26211618981185
10.8,1.06768981889017
10.9,0.870146325773049
11,0.670027706529798
11.1,0.466932278678324
11.2,0.260351047460707
11.3,0.0499890792541736
11.4,-0.16403017283323
11.5,-0.381039139963292
11.6,-0.599715634277601
11.7,-0.818127950608441
11.8,-1.03367767210796
11.9,-1.24361143521877
12,-1.44442092287169
12.1,-1.63195183126057
12.2,-1.80050123310356
12.3,-1.93994562023172
12.4,-2.02916156447382
12.5,-2.01703892487656
12.6,-1.78327957399422
12.7,-1.28251891576557
12.8,-0.938861636155248
12.9,-0.858477546995378
13,-0.902432351545992
13.1,-1.00093265872577
13.2,-1.12620961594649
13.3,-1.27062701893505
13.4,-1.40027334551306
13.5,-1.55060048189877
13.6,-1.70011393789504
13.7,-1.84930637236371
13.8,-1.99797255949624
13.9,-2.14608796681969
14,-2.29387150298089
14.1,-2.44164935347197
14.2,-2.58968692439728
14.3,-2.73804516133868
14.4,-2.88648293124309
14.5,-3.03434981674121
14.6,3.10237356069391
14.7,2.95676686604024
14.8,2.80881914992313
14.9,2.65547812860945
15,2.49643443758418
