"Freq [GHz]","ang_rad(S(1,1)) [rad]"
1.5,-0.588826494913633
1.6,-0.555421703966763
1.7,-0.137872114620885
1.8,0.40525554519617
1.9,0.62729374505569
2,0.613851741123709
2.1,0.511834908648997
2.2,0.381998460884038
2.3,0.243342509388221
2.4,0.101479505256566
2.5,-0.0421418891112503
2.6,-0.187266067094814
2.7,-0.333845209967201
2.8,-0.481777782489575
2.9,-0.630956166880384
3,-0.781443021306733
3.1,-0.933657793410513
3.2,-1.08848673834412
3.3,-1.24727309052859
3.4,-1.4116884457423
3.5,-1.58350318586283
3.6,-1.76425875065522
3.7,-1.95484183899405
3.8,-2.15502209336657
3.9,-2.36313371975637
4,-2.57616009838888
4.1,-2.79036773316717
4.2,-3.00230719499911
4.3,3.07347123491655
4.4,2.87128533607458
4.5,2.67364094592587
4.6,2.47913873993162
4.7,2.28655226974463
4.8,2.09580060186902
4.9,1.90546524794762
5,1.71088413823184
5.1,1.52939666798002
5.2,1.37815214085239
5.3,1.29136968181657
5.4,1.33912902948172
5.5,1.60934377714978
5.6,1.95910719257516
5.7,2.11872909021305
5.8,2.11811206205726
5.9,2.04222842375124
6,1.93387423673628
6.1,1.81183261048076
6.2,1.68426584756134
6.3,1.55468363569602
6.4,1.42484373920904
6.5,1.29625913183306
6.6,1.17078060642545
6.7,1.05045399257273
6.8,0.936984370799713
6.9,0.83127258648713
7,0.733336698292928
7.1,0.642608914753597
7.2,0.558515072724472
7.3,0.481451478317956
7.4,0.41442221968337
7.5,0.365094759743781
7.6,0.345445492119674
7.7,0.362585545496091
7.8,0.405005445813324
7.9,0.451635956828725
8,0.497503096579884
8.1,0.535468470700062
8.2,0.531008342873206
8.3,0.501099850250868
8.4,0.457646050366157
8.5,0.399120367390291
8.6,0.333037718189568
8.7,0.268946183788612
8.8,0.2147260587709
8.9,0.175159059132853
9,0.152974342165591
9.1,0.150445130147872
9.2,0.169365298973536
9.3,0.207748461061417
9.4,0.255037643293343
9.5,0.294179041792902
9.6,0.313240568833766
9.7,0.312210478964097
9.8,0.298074332950701
9.9,0.278014608037588
10,0.256813105567334
10.1,0.237038084867487
10.2,0.219844029418223
10.3,0.20558195810809
10.4,0.194163808571804
10.5,0.185269346827345
10.6,0.178451306310976
10.7,0.173228173838564
10.8,0.169402889635804
10.9,0.167806210244041
11,0.171123099224052
11.1,0.183061257592146
11.2,0.205832547284844
11.3,0.238438821267946
11.4,0.277468137497408
11.5,0.31935782567861
11.6,0.357246102204683
11.7,0.384602744985421
11.8,0.399303430828899
11.9,0.399654627418909
12,0.394399131409687
12.1,0.371564466574309
12.2,0.339672158560954
12.3,0.300446077577061
12.4,0.255820175360661
12.5,0.207470456166932
12.6,0.156686174527777
12.7,0.104356877257735
12.8,0.0510141920281563
12.9,-0.00310650167965954
13,-0.0580077522190882
13.1,-0.11390369549062
13.2,-0.171397797844134
13.3,-0.249857069518557
13.4,-0.286394610398407
13.5,-0.349316714722221
13.6,-0.413985918395185
13.7,-0.480936977211507
13.8,-0.550099985370025
13.9,-0.621006335512036
14,-0.692811040613028
14.1,-0.764539610420364
14.2,-0.835737821251631
14.3,-0.907261384948195
14.4,-0.981306283729628
14.5,-1.0601865761418
14.6,-1.14491439554613
14.7,-1.23487274471247
14.8,-1.328445060477
14.9,-1.42376370997767
15,-1.51916009496646
