"Freq [GHz]","ang_rad(S(2,2)) [rad]"
1.5,-0.899354445402056
1.6,-0.760370445086916
1.7,-0.244508217800037
1.8,0.300204066544176
1.9,0.480868247895056
2,0.490829618911907
2.1,0.436709619363005
2.2,0.353418008213604
2.3,0.254163682146069
2.4,0.144630575794295
2.5,0.0275320640999192
2.6,-0.0956823094609293
2.7,-0.224138619804455
2.8,-0.357276993069413
2.9,-0.494796136956202
3,-0.636703529149615
3.1,-0.783406141759531
3.2,-0.935786661960271
3.3,-1.09522012844179
3.4,-1.26349803301892
3.5,-1.44262583527693
3.6,-1.63444413603836
3.7,-1.84004003712547
3.8,-2.05902817897492
3.9,-2.28899055561149
4,-2.52551675611465
4.1,-2.76310121290293
4.2,-2.99659200806237
4.3,3.0607194220687
4.4,2.84376969060795
4.5,2.6349219415915
4.6,2.43179254575935
4.7,2.23162167879829
4.8,2.03357608743435
4.9,1.83754335656397
5,1.6356625038752
5.1,1.44688518247362
5.2,1.28985946436646
5.3,1.20159355238233
5.4,1.26228232734306
5.5,1.5825217729511
5.6,1.97505733477333
5.7,2.132386665554
5.8,2.12310235712936
5.9,2.04221553813822
6,1.93193843915069
6.1,1.809757299889
6.2,1.68287319538562
6.3,1.55418663087773
6.4,1.42512695456099
6.5,1.29701411814871
6.6,1.17148663043309
6.7,1.05032402261006
6.8,0.935025013326686
6.9,0.826494948960514
7,0.725034468051763
7.1,0.630593002349988
7.2,0.543211348175135
7.3,0.463712370816488
7.4,0.394737829825826
7.5,0.341958181849959
7.6,0.314515228506955
7.7,0.323512107106782
7.8,0.369682136520058
7.9,0.427376041519153
8,0.470565938756232
8.1,0.49009632243982
8.2,0.489736614385978
8.3,0.470918016456672
8.4,0.431469064045086
8.5,0.377096843868304
8.6,0.315238971197778
8.7,0.256746553847228
8.8,0.21075347871408
8.9,0.181886479246274
9,0.171261482469407
9.1,0.178713131263042
9.2,0.203534480578123
9.3,0.242249017663479
9.4,0.284739045270667
9.5,0.315607425140266
9.6,0.324695273951943
9.7,0.31424413529607
9.8,0.293466864498445
9.9,0.270549916974145
10,0.250047374044582
10.1,0.233761276069699
10.2,0.222044709079762
10.3,0.214579544472864
10.4,0.210719437528253
10.5,0.209599359048537
10.6,0.210121857857301
10.7,0.211053272446122
10.8,0.209432568535755
10.9,0.209439765823632
11,0.211856958972566
11.1,0.221731566585515
11.2,0.241341506469652
11.3,0.269383319201293
11.4,0.301625891783729
11.5,0.332111909653735
11.6,0.356789455169089
11.7,0.372254942834551
11.8,0.378362875924979
11.9,0.374233295466363
12,0.360309414212604
12.1,0.337589751019106
12.2,0.307415357949589
12.3,0.271239089576486
12.4,0.230454595755758
12.5,0.186269489388068
12.6,0.13963459103133
12.7,0.0912222230336623
12.8,0.0414392342420409
12.9,-0.00954157993118795
13,-0.0617479673981516
13.1,-0.115402637670393
13.2,-0.171152508729416
13.3,-0.257142162882594
13.4,-0.283331294735092
13.5,-0.345009681771425
13.6,-0.408482475317637
13.7,-0.475541829689382
13.8,-0.545079375839545
13.9,-0.616411235503571
14,-0.688494735978416
14.1,-0.760168800748413
14.2,-0.830876342664938
14.3,-0.901589383842036
14.4,-0.974943718369329
14.5,-1.05384758922845
14.6,-1.13960825842365
14.7,-1.23131957349137
14.8,-1.32664243963067
14.9,-1.4228982645981
15,-1.51776863328543
