"Freq [GHz]","mag(S(1,1)) []"
1.5,1.26402267126083
1.6,1.56594332907078
1.7,1.80648783126268
1.8,1.27565343960761
1.9,0.864089443941366
2,0.664124990694279
2.1,0.543986279218223
2.2,0.462561392938063
2.3,0.403190712000302
2.4,0.357506180776383
2.5,0.320925870176835
2.6,0.290781897334112
2.7,0.265413417659798
2.8,0.243700441090355
2.9,0.22482382869926
3,0.20815152324754
3.1,0.193196044186572
3.2,0.179607301371023
3.3,0.167176359159599
3.4,0.155835228067069
3.5,0.145644995218836
3.6,0.136770176030077
3.7,0.129441184101119
3.8,0.12390789038477
3.9,0.120387243007275
4,0.119011178640159
4.1,0.119786327644851
4.2,0.122576030226983
4.3,0.127103251199662
4.4,0.132958522808145
4.5,0.139594185190037
4.6,0.146300616652991
4.7,0.152188450288138
4.8,0.156233711870555
4.9,0.157312460109519
5,0.153077902072499
5.1,0.14232378267921
5.2,0.125003598975467
5.3,0.102690957371916
5.4,0.0798866628639626
5.5,0.0666088641660872
5.6,0.0744259959182369
5.7,0.0993561785131631
5.8,0.130545022032219
5.9,0.162178052668876
6,0.191825616812337
6.1,0.218511891197815
6.2,0.24185231702441
6.3,0.261603954463496
6.4,0.277456807748097
6.5,0.289047669496799
6.6,0.296140211407744
6.7,0.298823624707639
6.8,0.297562265228771
6.9,0.293046338018331
7,0.285950719656369
7.1,0.276736314527464
7.2,0.265542164104011
7.3,0.252184324419148
7.4,0.236359103789987
7.5,0.218268002978045
7.6,0.199691789782328
7.7,0.184298988377599
7.8,0.175132717590678
7.9,0.171638609841727
8,0.172100294811732
8.1,0.17856837126188
8.2,0.188593494472911
8.3,0.196672787512657
8.4,0.204641550863232
8.5,0.210030811560483
8.6,0.21128366553232
8.7,0.208083985205488
8.8,0.201316862687653
8.9,0.192343897872444
9,0.182426033883919
9.1,0.172670983530264
9.2,0.164321967874956
9.3,0.158925679818892
9.4,0.157804206346868
9.5,0.160910747899959
9.6,0.166496094427116
9.7,0.172332746699813
9.8,0.176994606932614
9.9,0.180053195691194
10,0.181658674201
10.1,0.182154206651922
10.2,0.181886175534508
10.3,0.181139790437286
10.4,0.1801256205385
10.5,0.178982883431409
10.6,0.177782122324898
10.7,0.176510147042893
10.8,0.175035927345347
10.9,0.173140689505873
11,0.170705322524068
11.1,0.168042010928275
11.2,0.165919350675372
11.3,0.165198358016265
11.4,0.166489555001692
11.5,0.170266584766162
11.6,0.177402925672632
11.7,0.186208205894468
11.8,0.197635488599156
11.9,0.211450758375135
12,0.224505311549682
12.1,0.238549620475106
12.2,0.25244577552754
12.3,0.265657693001314
12.4,0.277866459195222
12.5,0.288910280621259
12.6,0.298754052544542
12.7,0.307451383301385
12.8,0.315106857304887
12.9,0.321844984891573
13,0.327789267546378
13.1,0.33305771622197
13.2,0.337830435611651
13.3,0.345470152441771
13.4,0.343576485735384
13.5,0.346349579099885
13.6,0.347949801267117
13.7,0.348394354161801
13.8,0.347513085248497
13.9,0.345143546931241
14,0.34124811593296
14.1,0.3360374875374
14.2,0.330002714389686
14.3,0.323700192468516
14.4,0.317329490619301
14.5,0.310495047909705
14.6,0.302440850322536
14.7,0.292503908793144
14.8,0.280388263287233
14.9,0.266180610142984
15,0.250236868022883
