"Freq [GHz]","ang_rad(S(1,2)) [rad]"
1.5,-1.46745785437387
1.6,-1.16146647639572
1.7,-0.481544422644149
1.8,0.251762125330263
1.9,0.824662047498406
2,1.4252622534051
2.1,1.87792158957415
2.2,2.10943819514964
2.3,2.20461819575443
2.4,2.2286316030202
2.5,2.21422760101338
2.6,2.17743391221452
2.7,2.12617596623924
2.8,2.06425584505494
2.9,1.99337106889134
3,1.91436370869089
3.1,1.82815909078777
3.2,1.73645712949682
3.3,1.64200041326133
3.4,1.54824797607085
3.5,1.45859386218212
3.6,1.37560810804894
3.7,1.30074020814047
3.8,1.2345508633068
3.9,1.17724508761198
4,1.12927973583727
4.1,1.09198561940859
4.2,1.06831616235904
4.3,1.06396320540917
4.4,1.08909660504786
4.5,1.16022534867921
4.6,1.29706951729757
4.7,1.49736902607862
4.8,1.6929332463724
4.9,1.78799322019427
5,1.75454861319936
5.1,1.60662060542875
5.2,1.38286753931481
5.3,1.11458444684134
5.4,0.827421837450927
5.5,0.544389802043164
5.6,0.285833693476213
5.7,0.0684737881621793
5.8,-0.0940034909045668
5.9,-0.190334152502611
6,-0.21720568753473
6.1,-0.194686001053436
6.2,-0.171127656521157
6.3,-0.190972311926345
6.4,-0.26485247364208
6.5,-0.37558124994563
6.6,-0.491037830930419
6.7,-0.568453446749999
6.8,-0.565573346610432
6.9,-0.489732491513692
7,-0.43042030350461
7.1,-0.452830245992621
7.2,-0.544380870858301
7.3,-0.672369348880517
7.4,-0.814075285336235
7.5,-0.957835202633997
7.6,-1.09899436942013
7.7,-1.23659748135288
7.8,-1.37110166834351
7.9,-1.50356441871726
8,-1.63636972334489
8.1,-1.77350792572469
8.2,-1.92006124126132
8.3,-2.08206645878161
8.4,-2.25899696427168
8.5,-2.45071484145724
8.6,-2.65585203732304
8.7,-2.87193977492815
8.8,-3.0959096021359
8.9,2.95853858341747
9,2.72807580119705
9.1,2.49915493150383
9.2,2.27546966240428
9.3,2.06111125151955
9.4,1.86079444629129
9.5,1.68088838700741
9.6,1.53177952064191
9.7,1.4328444252758
9.8,1.42126922298585
9.9,1.54989838528837
10,1.79655709632822
10.1,1.97996112224349
10.2,2.01066653062454
10.3,1.93405906122467
10.4,1.79909783398557
10.5,1.63356963819822
10.6,1.45204625463229
10.7,1.26211618981195
10.8,1.06768981889016
10.9,0.870146325772973
11,0.670027706529704
11.1,0.466932278678259
11.2,0.2603510474607
11.3,0.0499890792542332
11.4,-0.164030172833112
11.5,-0.381039139963134
11.6,-0.599715634277309
11.7,-0.818127950608415
11.8,-1.03367767210794
11.9,-1.24361143521878
12,-1.44442092287171
12.1,-1.63195183126058
12.2,-1.80050123310353
12.3,-1.93994562023164
12.4,-2.02916156447372
12.5,-2.01703892487654
12.6,-1.78327957399458
12.7,-1.2825189157662
12.8,-0.93886163615553
12.9,-0.858477546995396
13,-0.902432351545864
13.1,-1.00093265872551
13.2,-1.1262096159459
13.3,-1.27062701893266
13.4,-1.40027334551449
13.5,-1.55060048189941
13.6,-1.70011393789538
13.7,-1.84930637236384
13.8,-1.9979725594962
13.9,-2.14608796681954
14,-2.29387150298071
14.1,-2.44164935347186
14.2,-2.58968692439736
14.3,-2.738045161339
14.4,-2.88648293124352
14.5,-3.03434981674144
14.6,3.10237356069382
14.7,2.9567668660392
14.8,2.80881914992073
14.9,2.65547812860729
15,2.49643443758416
